index,fen,budget,kind,score,depth,nodes,bestmove
5,1k1r4/pbppn1p1/3b4/1NpP1qP1/P7/4B3/1P4Q1/K2RR3 w - - 3 26,1000000,cp,209,15,842658,b5d6
5,1k1r4/pbppn1p1/3b4/1NpP1qP1/P7/4B3/1P4Q1/K2RR3 w - - 3 26,2000000,cp,216,16,1192059,b5d6
6,8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,20000,cp,-1,5,8367,e1d1
6,8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,50000,cp,-13,6,26343,c2a2
6,8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,100000,cp,-38,7,84894,h5h4
6,8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,200000,cp,-28,8,129269,h5h4
6,8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,400000,cp,-4,11,331364,h5h4
6,8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,1000000,cp,0,12,468212,h5h4
6,8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,2000000,cp,38,14,1342556,c2c1
7,5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,20000,cp,544,6,11026,a2a1q
7,5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,50000,cp,555,9,46525,a2a1q
7,5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,100000,cp,550,10,95384,a2a1q
7,5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,200000,cp,550,10,95384,a2a1q
7,5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,400000,cp,593,11,220794,a2a1q
7,5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,1000000,cp,652,13,962534,a2a1q
7,5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,2000000,cp,652,13,962534,a2a1q
8,1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39,20000,mate,1,64,335,d7f7
8,1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39,50000,mate,1,64,335,d7f7
8,1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39,100000,mate,1,64,335,d7f7
8,1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39,200000,mate,1,64,335,d7f7
8,1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39,400000,mate,1,64,335,d7f7
8,1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39,1000000,mate,1,64,335,d7f7
8,1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39,2000000,mate,1,64,335,d7f7
9,2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,20000,cp,87,6,19920,c6e7
9,2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,50000,cp,87,6,19920,c6e7
9,2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,100000,cp,86,7,65684,c6e7
9,2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,200000,cp,86,7,65684,c6e7
9,2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,400000,cp,40,9,279075,c6a7
9,2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,1000000,cp,28,10,445616,c6a7
9,2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,2000000,cp,11,11,1386637,c6a7
10,2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,20000,cp,-31,5,14403,d2f2
10,2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,50000,cp,-31,5,14403,d2f2
10,2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,100000,cp,-31,6,54215,e4h1
10,2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,200000,cp,-32,8,167268,h2h3
10,2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,400000,cp,-44,9,271527,h2h3
10,2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,1000000,cp,-46,11,795527,h2h3
10,2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,2000000,cp,-49,12,1764106,d2d3
11,8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,20000,cp,-162,6,14414,c2b2
11,8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,50000,cp,-162,9,49669,c2b2
11,8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,100000,cp,-162,10,74213,c2b2
11,8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,200000,cp,-162,11,113739,c2b2
11,8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,400000,cp,-165,14,383163,c2b2
11,8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,1000000,cp,-165,14,383163,c2b2
11,8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,2000000,cp,-165,14,383163,c2b2
12,3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,20000,cp,1673,6,9898,e2c2
12,3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,50000,mate,3,24,48361,e2f2
12,3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,100000,mate,3,52,98688,e2f2
12,3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,200000,mate,3,64,121392,e2f2
12,3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,400000,mate,3,64,121392,e2f2
12,3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,1000000,mate,3,64,121392,e2f2
12,3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,2000000,mate,3,64,121392,e2f2
