index,fen,budget,kind,score,depth,nodes,bestmove
158,8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,50000,cp,-255,7,38655,e1d1
158,8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,100000,cp,-270,8,66357,e1d1
158,8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,200000,cp,-270,8,66357,e1d1
158,8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,400000,cp,-297,9,249427,e1d1
158,8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,1000000,cp,-301,12,865452,e1d1
158,8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,2000000,cp,-309,13,1287103,e1d1
159,2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,20000,cp,353,5,14105,f3f4
159,2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,50000,cp,474,8,43129,f3f4
159,2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,100000,cp,431,10,88739,f3f4
159,2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,200000,cp,409,12,151620,f3f4
159,2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,400000,cp,430,14,286707,f3f4
159,2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,1000000,cp,479,15,581472,f3f4
159,2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,2000000,cp,475,16,1235333,f3f4
160,r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,20000,cp,127,6,15272,e5b8
160,r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,50000,cp,129,7,31505,e5b8
160,r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,100000,cp,134,8,54207,e5b8
160,r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,200000,cp,169,9,173955,e5b8
160,r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,400000,cp,154,10,396117,e5b8
160,r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,1000000,cp,134,12,834680,e5b8
160,r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,2000000,cp,152,14,1674513,e5b8
161,r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,20000,cp,88,5,13950,b2d4
161,r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,50000,cp,102,6,21585,b2d4
161,r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,100000,cp,65,7,65413,b2d4
161,r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,200000,cp,78,8,105528,b2d4
161,r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,400000,cp,75,9,281050,b2d4
161,r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,1000000,cp,77,11,782725,b2d4
161,r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,2000000,cp,84,13,1971804,b2d4
162,8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,20000,cp,23,6,19673,d4d6
162,8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,50000,cp,1,7,28869,d4d6
162,8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,100000,cp,96,8,70855,d4d6
162,8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,200000,cp,96,8,70855,d4d6
162,8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,400000,cp,134,9,250929,d4d6
162,8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,1000000,cp,171,10,515547,d4d6
162,8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,2000000,cp,120,11,1693817,d4d6
163,3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,20000,cp,41,8,17613,f6b2
163,3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,50000,cp,42,9,45153,f6b2
163,3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,100000,cp,30,10,59846,f6b2
163,3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,200000,cp,61,11,125297,f6b2
163,3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,400000,cp,61,11,125297,f6b2
163,3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,1000000,cp,62,13,624746,f6b2
163,3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,2000000,cp,71,14,1661011,f6b2
164,1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,20000,cp,-279,6,16279,g5g6
164,1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,50000,cp,-249,8,48024,h1h2
164,1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,100000,cp,-248,9,81346,h1h2
164,1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,200000,cp,-268,10,158601,g5g6
164,1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,400000,cp,-255,11,333388,h1h2
164,1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,1000000,cp,-291,15,920894,h1h2
164,1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,2000000,cp,-288,16,1463076,h1h2
165,rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14,20000,cp,282,6,16664,b8g3
165,rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14,50000,cp,323,8,36427,b8g3
165,rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14,100000,cp,323,8,36427,b8g3
165,rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14,200000,cp,450,10,168495,b8g3
165,rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14,400000,cp,436,12,310927,b8g3
165,rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14,1000000,cp,451,14,818948,b8g3
165,rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14,2000000,cp,472,15,1409498,b8g3
166,3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28,20000,cp,10,6,18362,h3h4
166,3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28,50000,cp,-5,7,36891,f1d3
166,3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28,100000,cp,26,8,53559,f1d3
166,3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28,200000,cp,-6,9,124130,f1d3
166,3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28,400000,cp,-13,10,258058,f1d3
166,3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28,1000000,cp,-24,12,697822,f1d3
166,3rr1k1/p4pp1/3n3p/2N5/1P6/P4Q1P/2q2PP1/3R1BK1 w - - 2 28,2000000,cp,-38,13,1019545,f1d3
167,r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25,20000,cp,127,5,10873,d7f6
167,r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25,50000,cp,204,8,38803,d7f8
167,r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25,100000,cp,176,10,88141,d7f6
167,r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25,200000,cp,154,11,188717,d7f6
167,r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25,400000,cp,171,12,278227,d7f8
167,r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25,1000000,cp,184,13,430168,d7f8
167,r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25,2000000,cp,153,14,1515250,d7f6
168,3k3r/pb2ppb1/2p1nn1p/4q3/1PB4Q/P1N5/RBP2PPP/6K1 w - - 0 20,20000,cp,-94,5,16690,a2a1
168,3k3r/pb2ppb1/2p1nn1p/4q3/1PB4Q/P1N5/RBP2PPP/6K1 w - - 0 20,50000,cp,-59,7,49138,a2a1
168,3k3r/pb2ppb1/2p1nn1p/4q3/1PB4Q/P1N5/RBP2PPP/6K1 w - - 0 20,100000,cp,-70,8,96628,a2a1
168,3k3r/pb2ppb1/2p1nn1p/4q3/1PB4Q/P1N5/RBP2PPP/6K1 w - - 0 20,200000,cp,-72,9,159539,a2a1
168,3k3r/pb2ppb1/2p1nn1p/4q3/1PB4Q/P1N5/RBP2PPP/6K1 w - - 0 20,400000,cp,-78,10,258787,a2a1
168,3k3r/pb2ppb1/2p1nn1p/4q3/1PB4Q/P1N5/RBP2PPP/6K1 w - - 0 20,1000000,cp,-69,12,759660,a2a1
168,3k3r/pb2ppb1/2p1nn1p/4q3/1PB4Q/P1N5/RBP2PPP/6K1 w - - 0 20,2000000,cp,-81,13,1668760,c3e2
169,r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10,20000,cp,102,4,9198,f6d5
169,r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10,50000,cp,58,6,29980,f6d5
169,r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10,100000,cp,30,8,89604,f6d5
169,r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10,200000,cp,30,8,89604,f6d5
169,r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10,400000,cp,31,9,233852,a8b8
169,r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10,1000000,cp,22,12,978463,a8b8
169,r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10,2000000,cp,16,14,1778835,a8b8
170,8/p1R5/kp6/2p5/2P5/KP6/2r5/8 w - - 8 44,20000,cp,-124,7,11647,c7h7
170,8/p1R5/kp6/2p5/2P5/KP6/2r5/8 w - - 8 44,50000,cp,-125,8,29179,c7h7
170,8/p1R5/kp6/2p5/2P5/KP6/2r5/8 w - - 8 44,100000,cp,-114,11,93026,c7e7
170,8/p1R5/kp6/2p5/2P5/KP6/2r5/8 w - - 8 44,200000,cp,-114,13,114093,c7e7
170,8/p1R5/kp6/2p5/2P5/KP6/2r5/8 w - - 8 44,400000,cp,-114,14,214124,c7e7
170,8/p1R5/kp6/2p5/2P5/KP6/2r5/8 w - - 8 44,1000000,cp,-115,16,574906,c7e7
170,8/p1R5/kp6/2p5/2P5/KP6/2r5/8 w - - 8 44,2000000,cp,-114,21,1789840,c7e7
171,6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32,20000,cp,305,8,11202,c5c2
171,6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32,50000,cp,308,10,40483,c5c2
171,6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32,100000,cp,308,10,40483,c5c2
171,6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32,200000,cp,314,12,166678,c5c2
171,6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32,400000,cp,295,13,214664,c5c2
171,6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32,1000000,cp,327,15,715121,c5c2
171,6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32,2000000,cp,327,16,1464454,c5c2
172,3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27,20000,cp,238,8,17762,c1f4
172,3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27,50000,cp,238,8,17762,c1f4
172,3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27,100000,cp,220,9,97417,h3g2
172,3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27,200000,cp,220,9,97417,h3g2
172,3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27,400000,cp,174,12,356023,h3g2
172,3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27,1000000,cp,174,13,427938,h3g2
172,3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27,2000000,cp,220,15,1211914,c1f4
173,3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36,20000,cp,231,6,12848,d8d4
173,3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36,50000,cp,199,7,35311,e8f7
173,3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36,100000,cp,285,9,80809,e8f7
173,3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36,200000,cp,268,10,114463,e8f7
173,3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36,400000,cp,268,10,114463,e8f7
173,3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36,1000000,cp,315,12,843017,d8d4
173,3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36,2000000,cp,310,13,1178396,d8d4
174,2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13,20000,cp,-39,5,19858,c8d8
174,2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13,50000,cp,-20,6,33149,c8d8
174,2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13,100000,cp,-14,7,76413,h4g6
174,2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13,200000,cp,0,9,157015,h4g6
174,2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13,400000,cp,0,9,157015,h4g6
174,2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13,1000000,cp,-7,11,901026,c8d8
174,2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13,2000000,cp,-15,12,1192288,c8d8
175,4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22,20000,cp,-65,6,14804,b2b3
175,4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22,50000,cp,-65,6,14804,b2b3
175,4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22,100000,cp,-59,7,57145,a4a5
175,4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22,200000,cp,-65,10,195932,b2b3
175,4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22,400000,cp,-58,11,294367,b2b3
175,4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22,1000000,cp,-66,13,891066,b2b3
175,4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22,2000000,cp,-62,14,1306637,b2b3
176,r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10,20000,cp,-208,5,13060,f2e3
176,r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10,50000,cp,-222,7,49453,f2e3
176,r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10,100000,cp,-197,9,99894,f2e3
176,r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10,200000,cp,-197,9,99894,f2e3
176,r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10,400000,cp,-191,11,308044,f2e3
176,r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10,1000000,cp,-199,13,828561,f2e3
176,r1b1k2r/1p3p1p/p1n3p1/q2pP3/4n3/NB2b3/PP3PPP/R2Q1KNR w kq - 0 10,2000000,cp,-184,14,1266871,f2e3
177,r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13,20000,cp,-129,5,7275,d7e5
177,r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13,50000,cp,-104,6,26972,d7c5
177,r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13,100000,cp,-128,7,70507,d7e5
177,r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13,200000,cp,-128,7,70507,d7e5
177,r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13,400000,cp,-127,9,353023,d7e5
177,r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13,1000000,cp,-120,11,761422,d7c5
177,r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13,2000000,cp,-127,13,1645393,d7c5
178,2r2k1r/p4pp1/n2Rn3/1B2P2p/1P6/Pb6/5KPP/2B4R w - - 1 20,20000,cp,214,6,8019,b5a6
178,2r2k1r/p4pp1/n2Rn3/1B2P2p/1P6/Pb6/5KPP/2B4R w - - 1 20,50000,cp,231,8,40962,d6a6
178,2r2k1r/p4pp1/n2Rn3/1B2P2p/1P6/Pb6/5KPP/2B4R w - - 1 20,100000,cp,231,8,40962,d6a6
178,2r2k1r/p4pp1/n2Rn3/1B2P2p/1P6/Pb6/5KPP/2B4R w - - 1 20,200000,cp,196,10,162005,d6a6
178,2r2k1r/p4pp1/n2Rn3/1B2P2p/1P6/Pb6/5KPP/2B4R w - - 1 20,400000,cp,196,11,235515,d6a6
178,2r2k1r/p4pp1/n2Rn3/1B2P2p/1P6/Pb6/5KPP/2B4R w - - 1 20,1000000,cp,190,13,657355,b5a6
178,2r2k1r/p4pp1/n2Rn3/1B2P2p/1P6/Pb6/5KPP/2B4R w - - 1 20,2000000,cp,205,14,1375821,b5a6
179,r1b2rk1/p4ppp/1q2p1n1/p1Rp2N1/3P4/1P2P2P/P1QN1PP1/5RK1 w - - 4 12,20000,cp,56,5,18096,c5c3
179,r1b2rk1/p4ppp/1q2p1n1/p1Rp2N1/3P4/1P2P2P/P1QN1PP1/5RK1 w - - 4 12,50000,cp,44,6,36824,f1d1
179,r1b2rk1/p4ppp/1q2p1n1/p1Rp2N1/3P4/1P2P2P/P1QN1PP1/5RK1 w - - 4 12,100000,cp,64,8,75559,d2f3
179,r1b2rk1/p4ppp/1q2p1n1/p1Rp2N1/3P4/1P2P2P/P1QN1PP1/5RK1 w - - 4 12,200000,cp,58,9,142903,d2f3
179,r1b2rk1/p4ppp/1q2p1n1/p1Rp2N1/3P4/1P2P2P/P1QN1PP1/5RK1 w - - 4 12,400000,cp,75,10,289888,f1c1
179,r1b2rk1/p4ppp/1q2p1n1/p1Rp2N1/3P4/1P2P2P/P1QN1PP1/5RK1 w - - 4 12,1000000,cp,80,11,508180,f1c1
179,r1b2rk1/p4ppp/1q2p1n1/p1Rp2N1/3P4/1P2P2P/P1QN1PP1/5RK1 w - - 4 12,2000000,cp,102,14,1674303,h3h4
180,5k2/1r3pb1/7p/1p5R/pR2P3/P3N1P1/2b2K2/8 b - - 1 36,20000,cp,-196,7,14383,c2b3
180,5k2/1r3pb1/7p/1p5R/pR2P3/P3N1P1/2b2K2/8 b - - 1 36,50000,cp,-212,9,38622,c2b3
180,5k2/1r3pb1/7p/1p5R/pR2P3/P3N1P1/2b2K2/8 b - - 1 36,100000,cp,-164,11,95054,c2b3
180,5k2/1r3pb1/7p/1p5R/pR2P3/P3N1P1/2b2K2/8 b - - 1 36,200000,cp,-164,11,95054,c2b3
180,5k2/1r3pb1/7p/1p5R/pR2P3/P3N1P1/2b2K2/8 b - - 1 36,400000,cp,-139,13,351626,c2b3
180,5k2/1r3pb1/7p/1p5R/pR2P3/P3N1P1/2b2K2/8 b - - 1 36,1000000,cp,-174,16,890493,c2b3
180,5k2/1r3pb1/7p/1p5R/pR2P3/P3N1P1/2b2K2/8 b - - 1 36,2000000,cp,-180,18,1652692,c2b3
181,8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58,20000,cp,-202,6,11436,h3h4
181,8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58,50000,cp,-182,8,42089,h3g4
181,8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58,100000,cp,-177,10,89629,h3g4
181,8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58,200000,cp,-176,11,176501,h3g4
181,8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58,400000,cp,-173,13,310757,h3g4
181,8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58,1000000,cp,-175,15,538293,h3g4
181,8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58,2000000,cp,-175,15,538293,h3g4
182,8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76,20000,cp,-305,7,15309,a1a8
182,8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76,50000,cp,-312,9,49281,a1a8
182,8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76,100000,cp,-312,9,49281,a1a8
182,8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76,200000,cp,-302,12,198315,a1a5
182,8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76,400000,cp,-299,13,358177,a1a8
182,8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76,1000000,cp,-304,15,811670,a1a8
182,8/8/8/8/6p1/5r1k/8/R5K1 w - - 4 76,2000000,cp,-310,16,1238793,a1a8
183,8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56,20000,cp,861,7,15312,e2c2
183,8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56,50000,cp,957,9,46506,e2c2
183,8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56,100000,cp,980,10,71062,e2c2
183,8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56,200000,cp,982,11,124445,e2c2
183,8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56,400000,cp,1006,12,266396,e2c2
183,8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56,1000000,cp,1042,14,779230,e2c2
183,8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56,2000000,cp,1046,15,1490012,e2c2
184,3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21,20000,cp,-77,6,11270,a1a3
184,3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21,50000,cp,-89,7,21960,a1a3
184,3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21,100000,cp,-87,9,93669,a1a3
184,3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21,200000,cp,-100,10,147007,a1a3
184,3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21,400000,cp,-100,10,147007,a1a3
184,3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21,1000000,cp,-61,12,528340,a1a3
184,3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21,2000000,cp,-67,14,1975833,a1a3
185,r3nb2/3k1pp1/2b1p2p/1p1p4/3P2P1/2BBPN2/4KP1P/2R5 b - - 1 26,20000,cp,91,6,19619,a8a2
185,r3nb2/3k1pp1/2b1p2p/1p1p4/3P2P1/2BBPN2/4KP1P/2R5 b - - 1 26,50000,cp,115,7,41662,f7f6
185,r3nb2/3k1pp1/2b1p2p/1p1p4/3P2P1/2BBPN2/4KP1P/2R5 b - - 1 26,100000,cp,104,8,57410,f7f6
