shard,processing_rank,n_input,n_output,n_not_output,n_not_output_seen,n_failed_reconstructed,fail_rate_reconstructed,log_n_input,log_n_written,log_n_dup_plus_force,log_n_failed,matches_log
gen3_shard_00001,0,59774,59774,0,0,0,0.000000,,,,,
gen3_shard_00002,1,60064,59763,301,301,0,0.000000,,,,,
gen3_shard_00003,2,59292,58778,514,514,0,0.000000,,,,,
gen3_shard_00004,3,58705,58040,665,665,0,0.000000,,,,,
gen3_shard_00005,4,59207,58443,764,764,0,0.000000,,,,,
gen3_shard_00006,5,59619,58652,967,967,0,0.000000,,,,,
gen3_shard_00007,6,59331,58231,1100,1100,0,0.000000,,,,,
gen3_shard_00008,7,59892,58755,1137,1137,0,0.000000,,,,,
gen3_shard_00009,8,59630,58403,1227,1227,0,0.000000,,,,,
gen3_shard_00010,9,59368,58045,1323,1323,0,0.000000,,,,,
gen3_shard_00011,10,59545,58275,1270,1270,0,0.000000,,,,,
gen3_shard_00012,11,59005,57578,1427,1427,0,0.000000,,,,,
gen3_shard_00013,12,60054,58596,1458,1458,0,0.000000,,,,,
gen3_shard_00014,13,59265,57770,1495,1495,0,0.000000,,,,,
gen3_shard_00015,14,58972,57315,1657,1657,0,0.000000,,,,,
gen3_shard_00016,15,59678,58052,1626,1626,0,0.000000,,,,,
gen3_shard_00017,16,59012,57313,1699,1699,0,0.000000,,,,,
gen3_shard_00018,17,59207,57503,1704,1704,0,0.000000,,,,,
gen3_shard_00019,18,59581,57839,1742,1742,0,0.000000,,,,,
gen3_shard_00020,19,59126,57334,1792,1792,0,0.000000,,,,,
gen3_shard_00021,20,59775,57942,1833,1833,0,0.000000,,,,,
gen3_shard_00022,21,59521,57634,1887,1887,0,0.000000,,,,,
gen3_shard_00023,22,59593,57813,1780,1780,0,0.000000,,,,,
gen3_shard_00024,23,59646,57736,1910,1910,0,0.000000,,,,,
gen3_shard_00025,24,59527,57508,2019,2019,0,0.000000,,,,,
gen3_shard_00026,25,59468,57477,1991,1991,0,0.000000,,,,,
gen3_shard_00027,26,59420,57401,2019,2019,0,0.000000,,,,,
gen3_shard_00028,27,59485,57461,2024,2024,0,0.000000,,,,,
gen3_shard_00029,28,59622,57461,2161,2161,0,0.000000,,,,,
gen3_shard_00030,29,60043,57997,2046,2046,0,0.000000,,,,,
gen3_shard_00031,30,59054,56938,2116,2116,0,0.000000,,,,,
gen3_shard_00032,31,59751,57498,2253,2253,0,0.000000,,,,,
gen3_shard_00033,32,59790,57564,2226,2226,0,0.000000,,,,,
gen3_shard_00034,33,59068,57024,2044,2044,0,0.000000,,,,,
gen3_shard_00035,34,59339,57121,2218,2218,0,0.000000,,,,,
gen3_shard_00036,35,59355,57277,2078,2078,0,0.000000,,,,,
gen3_shard_00037,36,59660,57446,2214,2214,0,0.000000,,,,,
gen3_shard_00038,37,59005,56894,2111,2111,0,0.000000,,,,,
gen3_shard_00039,38,59167,56838,2329,2329,0,0.000000,,,,,
gen3_shard_00040,39,58781,56588,2193,2193,0,0.000000,,,,,
gen3_shard_00041,40,60327,57916,2411,2411,0,0.000000,,,,,
gen3_shard_00042,41,59360,57056,2304,2304,0,0.000000,,,,,
gen3_shard_00043,42,59987,57501,2486,2486,0,0.000000,,,,,
gen3_shard_00044,43,59306,56928,2378,2378,0,0.000000,,,,,
gen3_shard_00045,44,60138,57753,2385,2385,0,0.000000,,,,,
gen3_shard_00046,45,59696,57300,2396,2396,0,0.000000,,,,,
gen3_shard_00047,46,59856,57468,2388,2388,0,0.000000,,,,,
gen3_shard_00048,47,59540,57141,2399,2399,0,0.000000,,,,,
gen3_shard_00049,48,59170,56793,2377,2377,0,0.000000,,,,,
gen3_shard_00050,49,59084,56576,2508,2508,0,0.000000,,,,,
gen3_shard_00051,50,59308,57060,2248,2248,0,0.000000,,,,,
gen3_shard_00052,51,59271,56871,2400,2400,0,0.000000,,,,,
gen3_shard_00053,52,59231,56986,2245,2245,0,0.000000,,,,,
gen3_shard_00054,53,59084,56578,2506,2506,0,0.000000,,,,,
