shard,processing_rank,n_input,n_output,n_not_output,n_not_output_seen,n_failed_reconstructed,fail_rate_reconstructed,log_n_input,log_n_written,log_n_dup_plus_force,log_n_failed,matches_log
gen1_shard_00001,0,71618,71618,0,0,0,0.000000,71618,71618,0,0,1
gen1_shard_00002,1,70918,69177,1741,1741,0,0.000000,70918,69177,1741,0,1
gen1_shard_00003,2,71984,68746,3238,3238,0,0.000000,71984,68746,3238,0,1
gen1_shard_00004,3,71871,66982,4889,4889,0,0.000000,71871,66982,4889,0,1
gen1_shard_00005,4,71264,64853,6411,6411,0,0.000000,71264,64853,6411,0,1
gen1_shard_00006,5,72165,64530,7635,7635,0,0.000000,72165,64530,7635,0,1
gen1_shard_00007,6,71538,62870,8668,8668,0,0.000000,71538,62870,8668,0,1
gen1_shard_00008,7,72064,61837,10227,10227,0,0.000000,72064,61837,10227,0,1
gen1_shard_00009,8,72494,60703,11791,11791,0,0.000000,72494,60703,11791,0,1
gen1_shard_00010,9,71820,58854,12966,12966,0,0.000000,71820,58854,12966,0,1
gen1_shard_00011,10,71898,57434,14464,14464,0,0.000000,71898,57434,14464,0,1
gen1_shard_00012,11,71766,56574,15192,15192,0,0.000000,71766,56574,15192,0,1
gen1_shard_00013,12,72301,55742,16559,16559,0,0.000000,72301,55742,16559,0,1
gen1_shard_00014,13,71773,53951,17822,17822,0,0.000000,71773,53951,17822,0,1
gen1_shard_00015,14,72114,53589,18525,18525,0,0.000000,72114,53589,18525,0,1
gen1_shard_00016,15,71684,51852,19832,19832,0,0.000000,71684,51852,19832,0,1
gen1_shard_00017,16,71903,50966,20937,20937,0,0.000000,71903,50966,20937,0,1
gen1_shard_00018,17,72061,50373,21688,21688,0,0.000000,72061,50373,21688,0,1
gen1_shard_00019,18,72176,49006,23170,23170,0,0.000000,72176,49006,23170,0,1
gen1_shard_00020,19,71590,48083,23507,23507,0,0.000000,71590,48083,23507,0,1
gen1_shard_00021,20,71472,46786,24686,24686,0,0.000000,71472,46786,24686,0,1
gen1_shard_00022,21,71585,46167,25418,25418,0,0.000000,71585,46167,25418,0,1
gen1_shard_00023,22,71077,44387,26690,26690,0,0.000000,71077,44387,26690,0,1
gen1_shard_00024,23,71269,43825,27444,27444,0,0.000000,71269,43825,27444,0,1
gen1_shard_00025,24,71336,42713,28623,28623,0,0.000000,71336,42713,28623,0,1
gen1_shard_00026,25,72120,42554,29566,29566,0,0.000000,72120,42554,29566,0,1
gen1_shard_00027,26,71764,41308,30456,30456,0,0.000000,71764,41308,30456,0,1
gen1_shard_00028,27,72557,40994,31563,31563,0,0.000000,72557,40994,31563,0,1
gen1_shard_00029,28,71979,40209,31770,31770,0,0.000000,71979,40209,31770,0,1
gen1_shard_00030,29,72345,39128,33217,33217,0,0.000000,72345,39128,33217,0,1
gen1_shard_00031,30,71193,38191,33002,33002,0,0.000000,71193,38191,33002,0,1
gen1_shard_00032,31,71702,37663,34039,34039,0,0.000000,71702,37663,34039,0,1
gen1_shard_00033,32,71190,36312,34878,34878,0,0.000000,71190,36312,34878,0,1
gen1_shard_00034,33,72152,36084,36068,36068,0,0.000000,72152,36084,36068,0,1
gen1_shard_00035,34,71058,35393,35665,35665,0,0.000000,71058,35393,35665,0,1
gen1_shard_00036,35,71784,34864,36920,36920,0,0.000000,71784,34864,36920,0,1
gen1_shard_00037,36,71646,34071,37575,37575,0,0.000000,71646,34071,37575,0,1
gen1_shard_00038,37,72448,33411,39037,39037,0,0.000000,72448,33411,39037,0,1
gen1_shard_00039,38,71449,32687,38762,38762,0,0.000000,71449,32687,38762,0,1
gen1_shard_00040,39,72404,32529,39875,39875,0,0.000000,72404,32529,39875,0,1
gen1_shard_00041,40,71866,30769,41097,41097,0,0.000000,71866,30769,41097,0,1
gen1_shard_00042,41,71345,30623,40722,40722,0,0.000000,71345,30623,40722,0,1
gen1_shard_00043,42,71517,29933,41584,41584,0,0.000000,71517,29933,41584,0,1
gen1_shard_00044,43,71629,29704,41925,41925,0,0.000000,71629,29704,41925,0,1
gen1_shard_00045,44,71114,28642,42472,42472,0,0.000000,71114,28642,42472,0,1
gen1_shard_00046,45,71640,28322,43318,43318,0,0.000000,71640,28322,43318,0,1
