fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"8/2k1rbR1/1p3n2/1Pp2p2/5N2/1p2PP2/8/rNK1R3 b - - 0 32",285,196,248,242
"4b2k/4qpp1/4p2p/1pNpP3/3P4/5R1P/3Q1PPK/r7 b - - 23 37",56,66,88,75
"5r1k/1p6/2pB3p/2Pp2pN/p2P2n1/P7/1P2R3/2K5 b - - 0 45",-175,-57,-100,-111
"2r5/5P2/1p6/3pN3/k2P4/8/8/1K6 b - - 0 62",128,-5,130,183
"8/1k6/3p4/1p2n1P1/8/2p5/P6R/7K w - - 0 40",69,-27,54,24
"r6r/pppk1q2/3p2p1/2P3P1/3Q1P1p/7b/PP3K2/R1B1R3 w - - 2 20",87,11,57,65
"5Q2/p6k/8/2P2p2/8/P2q4/1K4p1/8 w - - 0 43",-380,-344,-383,-387
"8/1kp5/2p5/2PpK3/8/2P5/3rp3/6R1 w - - 0 58",-417,-518,-447,-393
"8/2Nkq3/6p1/3p4/P2P4/1P4Qp/1KPB4/5b2 b - - 0 33",-341,-227,-269,-269
"r1bqr2k/p6p/6p1/2p2p2/1n1n1P2/1PNB3N/2PP1QPP/R4RK1 w - - 6 16",130,91,91,52
"5k2/8/6R1/5N2/7P/rp5K/2r3P1/8 w - - 1 53",-353,-186,-186,-190
"rn1q1rk1/1p2npb1/p5p1/2ppp1N1/2P5/2BPP3/PP2KP2/RN4QR b - - 1 10",17,138,141,143
"3R4/1k6/pP2K3/P7/8/8/8/5r2 b - - 34 63",1,-188,-183,-177
"r4rk1/7R/p2p3p/P2Pp3/4Bb2/3QNP1b/1PPK4/q7 w - - 2 40",-216,-146,-163,-212
"5r1k/R3Nppp/8/4P3/3N2n1/1P4P1/1r6/6K1 w - - 1 28",-263,-177,-177,-172
"r1bq1r1k/pp4bp/6p1/3p4/QRn2p2/P1P2N2/4PPBP/2BR2K1 b - - 5 14",141,72,84,87
"1r5r/p2b1kp1/B7/2R4p/3B1bp1/8/P4P1P/4R1K1 b - - 4 22",32,-5,-10,-1
"r1b1k1nr/pp4qp/1np1P3/3p4/3PPB2/5P2/P2N2P1/R2QKB1R b KQkq - 0 11",-216,12,39,-3
"r1b2kr1/pp3p1p/8/5p2/5q2/1P2p3/P3Q1R1/5RK1 b - - 2 24",609,814,808,807
"3q1rk1/1Q2Bpp1/1p2p3/p5P1/P1r5/4P3/3PKP2/6R1 b - - 0 23",174,162,216,218
"3k1r2/1pp3p1/1n1b2q1/1P5p/1r1Pp3/Q3P2P/P1RNBPP1/3R2K1 b - - 0 30",46,-30,-36,-87
"8/1p3n2/4NK1p/2p2P2/1k4P1/7P/8/8 b - - 3 50",-185,-190,-190,-190
"4r1k1/p4pp1/1p4q1/5n1p/P2P4/1PN2P2/3Q2PP/2R3K1 w - - 8 24",138,3,13,46
"4b1k1/r2q4/r5pp/3pPp1n/1bpP1P1P/1pN2NP1/1P1BQ2K/5R1R b - - 0 41",175,-18,-9,-22
"2b2rk1/n1p2p2/3q1n2/3p2p1/3Pp2p/4P2P/1PP1NPP1/2BQKB1R b K - 1 12",-42,0,34,-3
"r3k3/pbpp1prp/4pq2/8/2P1P3/2N2N2/P1nPQP1P/5K1R w q - 1 12",-408,-291,-372,-372
"1B6/1p1k4/p7/2p5/8/PP4P1/6P1/1b3K2 b - - 1 32",17,-35,-63,-15
"3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77",333,138,145,196
"2r5/1p5p/3qb1pk/p4p2/P3p3/1P1pPP1P/3P2P1/Q2B1RK1 b - - 2 20",3,261,179,179
"k7/4r3/7B/2Q5/7P/6P1/5PK1/3qbR2 w - - 2 45",652,915,934,921
"r4k2/2p3p1/npP1p2p/8/2PBp3/pP5P/6P1/3R2K1 w - - 0 29",-292,-261,-237,-254
"2rqkb1r/pb3p2/2n2p2/2p5/Q2p3B/3P2PP/PP2PPB1/R3K1NR b KQk - 0 10",-237,-74,-76,-42
"rnbqr1k1/1p4b1/2p2pB1/p2p3n/3P1P2/P1N1P2P/1P4P1/R1BQ1RK1 b - - 0 10",-51,-6,-22,-47
"2kr2r1/ppp1qp1p/2n5/3p4/2nP4/1Q4PP/PB2PPB1/1N1R2K1 w - - 1 18",-14,-242,-150,-129
"3r3r/1k4bp/p7/qp2p3/1R2P3/2p2NPR/4PP2/1Q2K3 w - - 1 26",-328,-350,-347,-331
"1Rnr2k1/1R3bp1/p4r2/q4p1p/P1p2QnP/2p2BP1/P3P3/2B2NK1 w - - 0 27",86,16,6,-35
"r2qk2r/p1np1pp1/4p2p/2bnP3/Pp2N3/8/1PP1QPPP/RNB1K2R b KQkq - 1 9",-50,-17,-34,-38
"r1bq1kn1/1ppn3r/3p4/3PpPp1/Pp2N2p/5P1P/2PB2P1/R2QKB1R b KQ - 1 11",-156,-45,-66,-87
"5r1k/1b4pp/1p1bp3/1P1p4/3PpP2/1P2P2P/1B4P1/R5K1 b - - 0 20",384,258,258,241
"3rkb1r/1p3pp1/2b1pn1p/p1p5/2P2B1P/2N2P2/PP2BP2/3RK1R1 w k - 3 13",-95,-9,-11,-19
"2r3k1/5p2/4p2p/p2p4/3P3n/P1P3B1/5PP1/1R4K1 b - - 0 32",43,12,22,24
"8/6p1/4kb1p/1r5P/R4PK1/6P1/8/8 b - - 21 80",224,277,282,282
"1q2k2r/R3p2p/2p5/6p1/2n1B1P1/8/8/4K2R w Kk - 0 24",-229,-421,-388,-451
"8/R7/6p1/p1p1k2p/3nn3/PP1K3P/8/8 w - - 14 44",-91,-215,-225,-207
"r5k1/1bp1bp1p/3p1np1/1PqP1p2/2PN1P2/2NQP3/1B4PP/5RK1 w - - 4 17",261,189,176,177
"2bqkbnr/p1pp1p2/2n1p1p1/8/1rPPP3/2N2N2/PPQ2PBP/R1BK3R b - - 6 11",-90,13,13,-27
"3k4/1p1n1r2/3p4/p4PKp/2R5/2P5/PP6/8 w - - 2 42",-402,-235,-211,-204
"r2q2k1/p3Bpp1/2p2n1p/4Q3/2Pp4/1N1P2Pb/P4P1P/R5K1 b - - 3 22",53,-58,-47,-84
"1r1qk1n1/2p1pp1r/p5p1/2NP2B1/3Q2bN/1p4p1/P5B1/4R1K1 w - - 0 20",287,-134,-142,-142
"5k2/4rp1p/3Q4/pR6/2b5/8/PPq2PP1/5RK1 w - - 1 27",607,685,721,803
"r3k1r1/2p5/2pbpq2/p2pNpp1/3P2n1/PPB1P1P1/5PK1/R2Q3R w - - 2 18",28,-43,-60,-29
"1k3r2/2p4Q/p2b4/1b1pPr1p/7P/1PP1B3/3K2P1/R7 b - - 0 32",18,12,-29,65
"4r3/3pqp2/2p3pk/4Pp2/3P1P1p/2P2N1P/Q5PK/4R3 b - - 4 30",-542,-454,-415,-383
"4rkr1/p2p3p/2pP4/5p2/PPb2P1q/2N2P2/1PKQ4/3R2N1 w - - 1 22",-223,2,-39,-9
"3k4/2R4R/8/1r6/2b1P3/5PK1/1pr5/8 w - - 0 48",-201,-307,-257,-378
"8/1k6/p1p5/7p/KP3n2/P4B2/8/8 b - - 2 47",257,274,289,290
"1r2k2r/R1p1bppp/3p1q2/3b4/1nP1P3/4Q1P1/1P3P1P/2BK1B1R w k - 0 17",12,178,162,142
"8/pk6/1p6/8/P1KN3r/1P6/8/8 w - - 23 61",-297,-266,-266,-258
"8/pppk1K2/3p1Q2/2nP1R2/2P5/B3q2P/P7/8 w - - 15 36",711,863,940,954
"2r2rk1/1q2b1p1/4pn1p/8/Qp1Bp3/2P3P1/1P3NKP/1R2R3 w - - 1 22",-101,-150,-145,-125
"1b3k2/1P6/6K1/8/8/8/8/8 w - - 9 70",38,-61,-71,-263
"2k5/pppnn3/5p2/3p4/3P4/N3B2r/PPP1K3/5R2 b - - 7 21",127,100,134,106
"8/1p3k2/2qB3R/5p1p/p6P/P4P2/6P1/2n4K b - - 1 40",398,487,492,468
"1nbqkbr1/1pp2p1p/r3p3/5n2/P1p3pP/4P1P1/1B1PNPB1/RN1Q1RK1 b - - 1 9",-148,136,158,142
"5bk1/p7/1p5p/8/4r1p1/P1B3PP/1P1R2K1/8 b - - 0 30",-10,-71,-53,-47
"8/5Q2/kp6/2q4p/7P/P3N1P1/4b2K/8 w - - 6 43",25,116,97,107
"r2qk2r/ppp5/4pnb1/2np2Bp/4P3/N1P2PbN/PPQ3B1/2KR3R w kq - 0 13",67,-128,-111,-102
"8/5pK1/5p2/4nk2/2r5/7P/8/6R1 b - - 7 57",415,469,415,463
"3qk3/rb1n1p1p/p3p3/1p3n2/5P2/1N2PN2/P1QPB1rP/2R1K2R w K - 0 17",32,28,38,38
"2k5/pp1n1p2/3R4/2pP4/5P2/P6r/1B2r3/R5K1 w - - 0 22",-349,-262,-279,-273
"B6r/3k4/p5p1/4p1p1/6p1/8/P4P1P/4K2R b - - 0 29",17,114,76,58
"8/p7/P4kp1/3B1p1p/2Pp3P/3PqP2/2r1P3/4RK1R w - - 2 30",-270,-16,-28,-60
"r2qr3/1p2n3/pbk1PQ1p/3p1p1P/P2p4/BP1B4/2P3P1/R2K1R2 b - - 4 27",-363,-306,-259,-290
"rn2kr2/pp2p2b/2p2p1B/3q3P/2NP2pP/4p3/PPP2P2/R2QKBR1 b Qq - 1 11",-344,-161,-138,-161
"2bk2nr/3r1pbp/p1n1p1p1/1pP5/1P2PP2/P1p5/2P1N1PP/R1B1KB1R w KQ - 1 14",-381,-95,-114,-116
"2kr1b1r/1bqpn3/p1n2p2/1p2p1p1/Pp2P3/2PP1PN1/3B1NBP/R2Q1RK1 w - - 0 14",-80,-7,-50,-34
"2b3rk/pR6/2nQ1n1p/2p2p2/3b1B2/7P/P5P1/5R1K w - - 2 26",535,449,493,559
"8/8/2R3pk/5B1p/5n2/r7/5K2/8 w - - 0 78",-244,-270,-270,-296
"r2qk2r/1ppbb1pp/p1n2p2/8/1PN5/P1pB1N2/2P3PP/R2Q1RK1 w kq - 2 10",-77,-163,-126,-125
"4B3/8/1k6/2p4P/P7/8/3r1r2/2R4K b - - 0 61",326,208,137,183
"2r2rk1/pp2ppb1/2nqb2p/6p1/3Pp1P1/PP2PN1P/1B3P2/2RQKB1R w - - 0 13",-9,-74,-65,-73
"r3r1k1/1pqn1pp1/p2b1nb1/6B1/3pN3/1Q4P1/PP2N1BP/2R1K2R b - - 0 17",547,252,278,307
"4k3/8/4p1pp/1P2p3/2BbNn2/6KP/8/8 w - - 38 64",-49,-205,-205,-174
"2kr3r/1b1q2p1/Bp1bpp2/3p1n1P/3P3P/2P2N2/PP2QP2/R1B1K1R1 b Q - 0 13",-62,-172,-130,-114
"8/8/8/7K/p6P/1k6/1P6/8 b - - 0 40",354,430,476,555
"1r6/5pR1/3kp3/p4r2/2R4P/5P2/2P1K3/8 b - - 7 33",20,-2,25,27
"8/8/8/5p2/R7/4p2P/4krP1/6K1 b - - 2 46",326,291,291,291
"r2qkb1r/3p1pp1/p1n5/p2N3p/4PBn1/8/1P3PB1/R2Q1RK1 b kq - 1 16",99,234,217,233
"6r1/2R3pk/P3b2p/2p1N3/7P/6R1/r7/5K2 b - - 3 38",149,170,127,173
"3nk3/2p2p2/4b1p1/p2p2q1/Pb1Q4/2N1PR2/1PP2P1r/R3KB2 w Q - 0 15",203,121,87,81
"4r1k1/5qp1/3p3p/3B1P2/p1p3P1/P1r5/1PP5/2KR4 w - - 0 29",27,-41,-23,-23
"r1b2rk1/pp2bppp/2n4n/3p3q/3P4/6P1/PP2PPBP/RNBQ1RK1 w - - 1 11",-275,-133,-151,-109
"r4rk1/1b1pb1pp/pqn1pn2/1p3p2/5P2/3PPB2/PBP2NPP/RN1QR1K1 b - - 2 10",106,54,92,83
"r4rk1/2b2p1p/B7/1pPp4/3PpP2/P3B1nP/1R4P1/6KR w - - 0 27",-255,-126,-117,-219
"2R5/6b1/2p5/1k6/4NP2/p4K2/r7/8 w - - 7 45",-158,-159,-141,-128
"1rb1k1r1/p3q3/2p2n2/p3p2p/2P1P3/1nN1QN1P/1P2B1P1/3RKR2 w - - 4 17",272,0,-10,14
"r2k3r/1np1bqpb/1p1p4/pP1P1P1p/2P1N1PP/P1BBP3/2Q5/2KR3R b - - 0 23",-389,-283,-323,-322
"8/2pk3p/3p4/6p1/3R2P1/2P1r3/2K4n/2N5 b - - 0 36",452,386,376,392
"8/8/2R3P1/1k1B4/p3P3/4K3/7r/6r1 w - - 1 47",-94,-143,-106,-107
"3r2k1/1pR4p/p5p1/P2b1p2/1nBP4/4rN1P/6P1/5RK1 b - - 0 19",106,86,117,113
"8/k2BK3/6P1/p1r5/1p6/8/8/8 w - - 0 65",-75,-95,-148,-67
"8/8/1p6/1p5R/2p3KP/P1r5/1k6/8 w - - 0 50",-49,-245,-194,-189
"2kr2r1/1p2n2p/p1p5/1P2N2p/2P2p2/3p4/P2P2B1/R4RK1 w - - 2 22",411,-14,-48,-48
"r4rk1/pp2b1pp/2ppbn2/4p3/2P1n3/N3BNPP/PP3PB1/R3R1K1 b - - 2 12",204,177,186,194
"2kr4/1p6/p1nb2q1/3p1b2/P2p2P1/N1P2P1R/RP4K1/2BQ4 w - - 0 21",89,4,22,110
"2rq1rk1/4bpp1/3np2p/1p1b4/p1pP1PPP/P1P5/1P1NQB2/R3KBR1 b Q - 0 18",132,248,254,240
"4r3/1p3k2/P2p2p1/P2P1b2/2Pb3p/8/3B1PR1/5BK1 b - - 0 36",153,-89,-45,-81
"8/6kp/p7/8/P3KPP1/6rP/8/R7 b - - 2 34",-286,-214,-194,-197
"8/3kp3/p7/3nrP1R/P4R2/5K2/7P/8 b - - 0 41",-28,-118,-83,-80
"1r3b2/4k1rp/5n2/2p1p3/P1B1P3/2q3P1/4QP1P/3R1RK1 b - - 0 33",109,64,52,33
"3r2k1/1p4p1/2n4r/p1b4p/P1N2P2/2P3PR/1P4P1/4RK2 b - - 6 23",376,117,108,132
"rnbqkb2/p1p3p1/4p2r/3p3p/7P/Pp1BP1P1/1B3P2/RN1Q1RK1 b q - 2 9",28,74,80,93
"4n3/8/1p2k3/pP1p1p2/3PpPp1/N3P1P1/8/K7 w - - 19 67",-127,-248,-269,-270
"8/7r/2k5/8/3B4/8/6K1/8 b - - 5 71",55,161,179,183
"r2qk2r/1b3pp1/ppnbpn1p/3p4/8/1P1B1P2/PBPQNNPP/1K1R3R b kq - 5 12",110,85,85,95
"2k5/2p4R/K7/3r4/1P6/8/8/8 w - - 2 73",0,91,87,89
"r1b2k1r/pp2pp2/3p1np1/q2P1n1p/8/2NB1N1P/PPPQ1PP1/R3K2R w KQ - 5 10",129,121,51,103
"7r/2p2p2/1p1bb3/3P2p1/2k1B2p/4pPP1/7P/RR4K1 b - - 0 25",199,63,93,72
"b2r1nk1/6q1/3pp3/1Np1n2p/2P1P1p1/1N2Q3/4B1PP/5RK1 b - - 0 26",145,114,101,97
"8/8/8/8/6p1/7p/5k2/7K b - - 1 57",954,812,847,853
"8/8/8/1p5k/4n3/8/1KP1b2P/3R4 w - - 20 59",23,42,31,38
"r4rk1/pp4pp/3b4/4np2/1P1p4/3P3P/N1P2PP1/R1B1RK2 w - - 0 17",78,8,13,25
"5K2/5P2/3k4/3p4/3P4/8/p5r1/R7 b - - 0 60",0,-24,-42,-79
"r1br2k1/1p2npp1/2nqp2p/3p4/p2P4/4NNP1/PRQ1PPBP/1R4K1 b - - 0 14",109,127,139,141
"8/2p3b1/1p1p4/1P1P2k1/8/3K1B1P/8/8 b - - 14 68",-1,46,82,75
"1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50",-45,-191,-188,-201
"8/2R1pk1p/5pp1/3Nn3/1P6/4P3/r6P/3K4 b - - 10 33",95,135,137,68
"8/8/1P6/1rk5/8/K7/2B5/8 w - - 0 80",-36,-157,-171,-182
"8/k7/2p4P/p5B1/2n5/2P2B2/4K1pb/8 w - - 0 43",195,157,176,170
"8/8/1B5p/P6k/2P5/2r4b/4R3/K7 b - - 0 51",6,-140,-152,-125
"8/4k2p/1p3r2/8/1P5Q/P3q3/6PP/3R3K b - - 7 33",-425,-300,-317,-325
"1rb3k1/1np1qppp/B2p3n/3Pp3/1Q2P3/4PNP1/2PN4/4R1K1 w - - 2 20",-72,3,21,-6
"2kr3r/p1pq2p1/1bn2p2/1N1b4/Q2p4/3P1NP1/1P1BPPB1/2R3K1 w - - 2 19",-130,42,-16,-73
"r2qk2r/1bpn3p/p4n2/1pb1p1p1/4P1P1/N2R1QN1/PPPP1PB1/R1B1K3 b Qkq - 5 9",105,21,-18,-14
"2k5/p7/p5q1/P1n5/7P/2P2p2/8/7K w - - 0 40",-15000,-15000,-15000,-15000
"r4bnr/1pp2kp1/n2p3p/p2N4/3P4/1P6/P1PBNP2/2KR3R w - - 4 13",41,-14,-30,3
"2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26",-191,-174,-107,-134
"8/4R3/1pr5/p4p2/P2k4/1P4P1/3K4/8 b - - 3 61",39,29,27,44
"8/p1B2k2/1p2p3/8/2P3p1/1P2P3/P2P1n2/2K1RB1r b - - 2 22",-355,-275,-293,-225
"r5n1/ppq2kp1/2bbpp2/2p5/2P2PPN/2NPB3/PP1KP3/R2Q4 w - - 5 12",105,17,73,80
"r3k2r/pbpp1p2/5np1/1P5p/1P1PP3/2N2Pq1/3KP3/R1BQ1B2 b kq - 0 12",320,104,115,98
"3r4/1p2pk1p/2p5/2p1B3/n3q3/4P1PQ/P4P2/R5K1 w - - 1 27",-101,-106,-103,-97
"3rk3/4b2p/p5r1/5p2/1p3p1P/5K2/PP3N2/2R1R3 b - - 3 36",257,277,273,238
"rnbk2nr/2pp2q1/pp2pp2/4b1pp/N2NP3/8/P1PPBPPP/BR1QR1K1 w - - 2 10",45,-103,-122,-112
"r7/P1p2pbp/2kn2b1/2pp4/2r2N2/5P2/R2BNKP1/7R b - - 2 25",325,137,282,284
"k1r5/pp6/6p1/1b1Q4/8/7P/P4R1K/1q6 w - - 0 37",-441,-384,-378,-404
"6k1/6p1/1p5p/p2pNQ1P/P2P4/1P3PP1/6K1/2q1b3 w - - 10 43",402,383,375,344
"4r1k1/p4qp1/8/7p/4b3/1P4QP/2PB4/R5K1 b - - 5 31",207,126,136,120
"8/pp1r1k2/5p2/7p/7n/P3r1N1/1P6/R4R1K w - - 0 23",-259,-167,-263,-205
"8/6p1/3k2N1/1p1n2RP/r7/3K4/8/8 b - - 0 51",24,123,150,150
"4k3/1B6/4p3/8/1b2p3/4Pb2/3N4/4K3 w - - 17 38",-51,-150,-182,-192
"2bk4/p1pq2p1/2n1p1P1/r2B2N1/Np3b2/1P6/PBPP1Q2/R2K4 b - - 0 19",-39,-139,-109,-97
"3R4/1k4P1/8/2Kb2B1/8/7p/8/3r4 w - - 0 78",482,352,450,468
"8/5pk1/6p1/1prB2P1/p3pP2/P2bP3/3P3R/3K4 w - - 10 35",-91,-164,-147,-164
"8/4Rpk1/2P5/3B2pp/1B1b2b1/1P4P1/2r5/5K2 b - - 1 38",24,-40,-40,-57
"8/p7/1pk2p2/3p4/1P1P4/Pb2K3/8/5B2 w - - 20 50",-16,-131,-132,-122
"r2qkb1r/p1pn1p2/1pPp2p1/6Pp/8/2N1P3/PPPQB2P/R3K1R1 b Q - 0 13",-97,-97,-78,-84
"Q6R/1p6/1kr5/6p1/3P1q2/P7/KP5p/8 w - - 3 58",0,-176,-138,-103
"2r2rk1/Bp3p1p/6n1/5p2/5Pp1/P1b5/1PP1N1PP/2K2B1R w - - 0 16",440,152,206,212
"3B4/8/8/p5p1/r4pk1/8/2R2K1P/8 w - - 4 48",21,135,116,103
"8/6k1/p1p2p2/1r3B2/3p2p1/P2P1PP1/3NP3/5KN1 w - - 0 35",549,483,505,527
"r1bq1rk1/pppnbppp/2n5/4p3/2NpPP2/PP1P2PP/2P1N3/R1BQKB1R b KQ - 0 9",73,142,190,176
"1r6/8/5R1N/2k1p3/p1P5/8/1P1q4/1K6 w - - 2 40",-679,-15000,-15000,-15000
"r2q1rk1/1p3ppp/2n1b3/p2n4/Pb6/2NB3P/1P2NPP1/R1BQ1RK1 w - - 4 10",38,-85,4,-16
"8/1p1r1k2/2r5/p1R3p1/4p1P1/4P1K1/1PR2P2/8 w - - 2 33",175,203,227,204
"1n1k2r1/1ppbnp2/1r2p2p/p3P3/2B1PP2/1P3N2/P5PP/R1BR2K1 b - - 0 14",-374,-210,-180,-182
"3rk1r1/4n2p/pp3p2/b1p4q/2P1P3/PR2QN2/4PKBP/7R w - - 2 23",-8,37,23,24
"3rk2r/2p1qpp1/p6n/1p1P3p/1P2N3/P2B1P1b/2P5/1RB1Q1K1 b k - 0 18",306,258,279,265
"2rqrbk1/1b1n1pp1/p6p/4p3/1PNp3n/3P1N2/3B1PP1/R2QRBK1 w - - 0 17",-109,-132,-138,-142
"r4rk1/1q1n1ppp/b1pb1n2/p2pp3/N7/3PPNP1/PPQ2PBP/R1B1R1K1 b - - 11 11",104,128,136,145
"1nbqkbn1/r6r/pp1p3p/2pPp1p1/P3PpP1/2N2P1P/1PPB4/R1NQKB1R b KQ - 0 10",60,-18,-99,-99
"3qr1k1/1p3ppp/n3b3/8/Pb1Bp3/4P1PP/2rN1PK1/RN1Q3R b - - 6 19",323,172,161,148
"8/8/2p5/p3p3/2p1Pk2/P1Nb4/5K2/8 w - - 36 61",-489,-409,-392,-410
"Qnk2b1r/B3pp1p/5n2/p7/5P2/2P3P1/1qPK3P/1R5R b - - 1 15",-667,-433,-485,-663
"8/1r4kp/R4p2/5B2/4PP1K/1r4PP/8/8 b - - 20 47",-12,-40,-66,-71
"1kb1r3/pp2q2r/2p3n1/7N/4Pp2/P1R4P/P3Q1P1/3B1RK1 b - - 1 25",217,-108,-100,-68
"6Q1/1pk1q3/p4p2/6p1/2PP1n2/P7/K7/5B2 b - - 25 46",235,163,197,191
"1r4k1/B7/6bp/3p4/5p2/5Q1P/4R1PK/3q4 w - - 0 40",495,289,439,495
"7Q/4k1p1/2p2n2/p1b5/2BpP1q1/1P6/PB1P3P/R3KR2 w Q - 1 18",650,972,983,1003
"r3k2r/ppp1n1p1/1q3p1p/nN1P4/8/1P1B1P2/P2Q1P1P/2KRR3 b q - 0 14",-234,-28,-66,-66
"7k/8/3P1np1/5n2/1K5p/2R2Q2/8/4q3 w - - 0 51",-302,-198,-282,-301
"5r2/2k2Np1/2p4p/p4R2/P2P4/6b1/2r5/4R2K w - - 0 29",-150,-222,-216,-210
"3r2k1/p1q2pn1/5R2/1p4Pp/2pPB1b1/8/PP3Q2/5NK1 w - - 4 30",135,-60,-84,-13
"3q2kr/2p2p2/6p1/np1NQ2p/b2P4/2P2P1P/1P3KP1/7R w - - 1 22",0,-20,-18,-37
"1qr5/8/1pbr2k1/4BpNp/5Q1P/3p4/1P4PK/R7 b - - 2 36",-338,-82,-179,-203
"8/1k3r2/p7/8/8/B7/4N3/3K4 b - - 8 53",-1,8,-1,17
"8/3nkp2/p6R/2q3p1/1b6/4PB1P/p3NPP1/B4K1R b - - 4 24",-153,-139,-147,-218
"r1b1k2r/ppp1qpb1/8/3Pn2P/3QN1np/P1Pp4/1P3P2/R1B1KBNR b KQkq - 3 10",475,81,113,120
"8/1k6/8/3R4/PK1B2p1/8/2q5/8 w - - 0 51",-82,-64,0,0
"8/5p2/p4P2/4kPBK/PP4P1/8/4b3/8 w - - 5 39",220,531,478,478
"1r1qk2r/p1p1bp1p/8/3p1bp1/4N3/2PB4/P1Q2PPP/R1B2RK1 b k - 0 13",-103,20,-56,5
"r2k1Nn1/2p3R1/1p1p3p/3b1p2/5P1P/p1BP4/2P4P/K7 w - - 4 27",-95,-77,-76,-97
"r3kb1r/p1p3pp/5p1n/3Pp3/P7/2Pn1N1P/1P2NPP1/R1B2K1R w kq - 0 12",90,128,120,98
"8/1k1r4/2p5/2R5/1P3K2/2P5/8/8 w - - 35 55",14,177,164,170
"r7/5r1k/6bP/2QpppP1/5P2/3B4/pq2P1K1/R6R b - - 1 36",255,104,193,213
"k4r2/ppQn1q1r/2p2n2/6pp/2PP4/1P6/P2K4/4R1NR w - - 0 20",-437,-317,-369,-366
"8/3r4/8/8/8/pR6/k1B1K3/8 b - - 19 62",17,-60,-88,-63
"3r3r/1R6/2nk1p2/2b1pP1p/2p5/3n3P/3P1PB1/B4KNR b - - 0 26",480,330,257,253
"r1b1k2r/ppn1bp1p/2p5/3pp2q/8/1QP1P1PN/PP1N1P2/R3KB1R w KQkq - 0 10",-113,-63,-46,-70
"8/5k2/1pq1pp2/5n2/P7/6pP/4Q1P1/4R2K w - - 38 65",216,60,36,36
"r5b1/1ppk4/p1nb1Bp1/5pNr/4p2P/1P3PP1/P3P1B1/3RK2R b K - 0 17",-159,39,44,-22
"N1k4r/pp4pp/3b1n2/1B1P4/6PP/2N5/PPbK1P1R/n1B5 w - - 1 15",-19,114,88,42
"8/8/8/8/4kn2/2b5/5P2/6K1 b - - 9 60",348,636,731,736
"8/1pk5/3b2N1/2p5/2q1nPN1/B3P3/3P4/4K3 w - - 2 37",-539,-512,-558,-605
"3rkr2/1b3n1p/1p2BQ2/pP1NpP2/1bq4P/3n4/PB1P1NP1/R4RK1 w - - 5 19",350,319,400,387
"2rqk2r/pb1n1pp1/4pn2/1Bb4p/8/PP2P2N/1B1R1PPP/1N1QK1R1 b - - 2 10",-86,-31,-53,-60
"2kr1b1r/1pp2p2/2n1b2p/p2qp1P1/3p3R/3P1N2/PPP1QP2/R1B1KB2 w Q - 1 10",-149,-126,-69,-66
"1r3rk1/ppp2ppp/8/5b2/2Q5/P3R3/1q3PBP/4R1K1 w - - 2 17",-220,-237,-202,-202
"5rk1/p2b1r2/Bp1b3p/3N2p1/1P1Pp1P1/P3Bp1P/5Pn1/2RK3R b - - 0 28",213,153,153,148
"r2qr1k1/3b3p/3P1np1/pp3p2/1n1PpN1P/4N1PB/PP1Q1P2/2R2RK1 w - - 1 16",213,268,259,226
"3nkb2/6p1/3pPp2/P3p2r/4N3/6R1/1B2PP1P/3K4 w - - 0 23",251,234,214,187
"8/8/8/4k3/6K1/5r2/8/8 b - - 5 80",450,511,532,511
"8/2p5/5k2/3R2pp/7n/2rB4/5K2/8 b - - 1 43",449,384,364,400
"3Q4/8/6k1/8/8/8/3K4/8 b - - 2 62",-492,-750,-796,-816
"6k1/5rp1/2P5/8/8/1P2r3/7P/3RR2K b - - 0 33",-230,-211,-256,-308
"2k5/p1p4p/1pb5/8/7B/P2P3P/P1PK4/4RBrn w - - 2 21",281,227,190,194
"br2r1k1/4qpp1/p1nb1n1p/2B5/1P4P1/5N1P/2Q1NPB1/2RR2K1 b - - 2 19",257,271,134,244
"2k1r3/pp6/2p1P3/3p4/1b1P1B2/PPNb3r/1K3R2/6R1 b - - 0 36",65,162,172,169
"1b2rrk1/3qn1pp/P1p1p3/1p1n4/3P2P1/8/1PP2PB1/R1BQR1K1 w - - 1 18",-389,-17,-55,-45
"3qr1k1/1b3pp1/4n2p/1p1n4/3P4/1P4PN/1B3PBP/3QR1K1 w - - 0 21",15,115,137,126
"2r4k/R5pp/1pp5/8/8/1P1B4/P1P2P1r/2KN4 b - - 0 26",-250,-34,-81,-85
"3b1R2/6k1/1Q4p1/1p1b4/2p1P3/1P1n4/7P/5RK1 b - - 0 33",182,221,221,274
"6k1/p5pp/2p2p2/4pn2/P1P4P/1PN3P1/1KP2P2/3rN2b w - - 0 22",80,4,15,47
"5r1k/r1qpn1pp/2b2p2/2R4N/4p3/7P/3Q1PP1/2R3K1 w - - 0 20",-355,-470,-479,-489
"6k1/4pp1p/n1B3p1/2pPP1P1/7P/prN5/8/R5K1 w - - 3 29",185,83,137,156
