fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"2k5/6Q1/p2q4/1p6/3pP3/3P4/1P6/1K6 w - - 11 38",53,25,26,22
"4rrk1/pp1b2pp/1n3q2/2pPbp2/3n1N1P/1PNQ1PP1/PB1P4/R2K1BR1 w - - 3 18",-91,58,18,86
"2rq1rk1/pp2ppbp/3p1np1/n7/P2PP1b1/2N1BN2/1Q2BPPP/R4RK1 w - - 5 12",-86,-112,-20,-76
"r3k2r/p1pnpb1p/1q3np1/1B3p2/QN6/2P1P3/P4PPP/R1B1K2R b KQkq - 6 11",-30,-46,1,-11
"r4k1r/ppp1qpp1/3p1nbp/8/1nPP4/1PN2NP1/PR1QP2P/4KB1R w K - 3 10",-43,23,23,-7
"6k1/5p2/6p1/3qP1QP/3P3R/1Pr5/P1r5/K5R1 w - - 0 42",507,571,372,372
"r7/pppq1pk1/2np3p/b7/2P1rPb1/N3P3/P2PN1RP/R2Q2K1 w - - 0 15",2,-154,-95,-89
"8/2p2R2/3k4/p4p1r/np2pP2/4P3/2P5/2KN4 b - - 2 35",400,342,427,437
"3r1k2/p5p1/1p2p2n/2pq4/4N2Q/1PRPP3/P3KP2/8 w - - 6 27",40,-36,-35,-20
"6r1/8/4k3/P3p3/1PR4N/7K/5r2/8 b - - 0 47",264,70,70,173
"r6r/p3bk2/R2p4/1b1Pp1p1/4P2p/4BP2/1P5R/4K1N1 w - - 1 22",-193,-30,-19,0
"6k1/8/8/1p1P4/2b4r/4P1K1/1Q1R2P1/5r2 b - - 4 48",-267,-357,-276,-291
"8/pk1r4/1np5/R5Rp/7P/5b2/1P6/2K5 w - - 3 39",-222,-210,-214,-199
"1r2k2r/5p2/2p1p1p1/pb1pP1P1/4qP1p/2P2B2/P3P2P/2RQ1R1K b - - 4 21",214,219,223,160
"1r1r2k1/4n2p/pp4p1/2p1n3/N1PpPQ1q/3P4/PP2B2P/1RK2R2 b - - 4 22",285,43,69,68
"1r5k/p7/6B1/2ppp2P/7B/5r2/P7/6RK w - - 2 34",65,71,-66,8
"8/p2r4/1pk5/P1p5/2P5/1P6/2K5/6R1 b - - 1 37",0,86,82,74
"k1r5/P3Rp2/5q2/p6p/5B2/3Q4/6PK/8 b - - 0 47",74,69,85,154
"rr6/1bp2q1k/3pp3/n2n1pB1/p2PP1pP/P1RB4/1PQN2P1/4K2R b K - 0 21",24,226,230,208
"8/8/2p1k3/5R2/2pr4/2NnK3/8/8 b - - 0 62",207,246,254,263
"1k1r1b1r/ppqn1p2/2pnp2p/5bp1/3P4/NQN1P2P/PP1BBPP1/R4RK1 b - - 10 14",64,19,19,-15
"8/1pp2q2/6p1/2R5/2Pp1k1p/2r5/5P1P/4QK2 w - - 28 56",0,0,0,0
"1r3rk1/p1q3p1/p6p/2p1b3/3pP3/1P5P/P1P1NPP1/R2QK2R b - - 0 20",140,81,81,43
"r4rk1/1pp1q1b1/p2pPnp1/P4p1p/4pPnP/R3P3/BPPBN1P1/3QK2R b K - 2 15",188,64,90,82
"rn3rk1/2p1bpp1/p3b3/1p5n/1P2P2p/P1NB1N1P/2P3P1/1RBKR3 w - - 0 12",43,24,20,22
"5rk1/1bpq1ppp/3b4/1r2p3/4n3/1PBN4/3P1NPP/1R1Q1RK1 w - - 0 18",-320,-114,-160,-157
"2r3k1/1p3qp1/7p/1b1p4/1P1P1Pp1/r7/3QN1PP/4RRK1 w - - 0 22",-85,-86,-96,-94
"4k3/2r2pQ1/1pPqp3/pB1p1p1N/P2P3p/5Pn1/6P1/6K1 w - - 5 45",202,-77,0,0
"2r4r/pp3k1p/3ppqpB/2p1b3/2PnP1BP/3P4/PP1Q4/R3K2R w - - 0 18",-111,-90,-92,-51
"r1b2rk1/1p4p1/3Rp1Bp/4qP2/5B2/8/5PPK/8 w - - 2 33",-364,-247,-237,-246
"r4k2/q5p1/2Q5/1p2p1P1/2n1p1b1/8/5PP1/5RK1 b - - 1 25",384,576,566,569
"8/4k1p1/2p1p3/p2r2P1/1pN1K3/1P4R1/P7/8 w - - 4 36",333,194,201,170
"r1b1kr2/p1q1n1p1/1ppp1p1p/4p3/P1B1P2P/1QP1NPP1/3R2K1/R7 b q - 3 16",238,214,259,214
"8/5kp1/8/R7/1r6/5P1P/6P1/6K1 b - - 0 38",-410,-212,-227,-232
"8/5rpk/2b1p2p/2q1Pn2/1pP5/p2R3P/4Q1PK/B1R5 w - - 4 41",-161,-23,-22,-22
