fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
8/3p3p/rPp5/5k2/1K2p2P/4B3/8/8 w - - 0 39,-348.0,-232.0,b6b7,quiet,10,0.089389,116.0,0
5r1k/p4bp1/1p1P3p/3pR3/P7/4B2P/1P2B1pK/8 b - - 0 30,19.0,-173.0,f8d8,quiet,17,0.257561,192.0,0
8/pk1r4/1np5/R5Rp/7P/5b2/1P6/2K5 w - - 3 39,-273.0,-247.0,a5f5,quiet,12,0.022372,26.0,0
4r3/1k6/2b3Q1/1pq5/4p1pP/6P1/1RP3BK/4B3 w - - 5 38,292.0,332.0,g6g4,capture,15,0.028126,40.0,0
3r2k1/6p1/4r3/3n1pq1/2Q1p3/1P4P1/P2P2P1/R4N1K w - - 1 31,-195.0,-341.0,f1e3,quiet,17,0.122398,146.0,0
r2q1rk1/1p2bbpp/2n5/p1pnpp2/P7/N2PPP1N/1P1BB1PP/R2QK2R w - - 12 11,-76.0,-98.0,a3c4,quiet,30,0.029747,22.0,0
r1b2rk1/1pq1bppp/5n2/pBn1p3/N3P3/P4PP1/1BPQN2P/R3K2R b KQ - 2 12,186.0,141.0,f8d8,quiet,28,0.052267,45.0,0
3qk1nr/r4pp1/p1nbb3/1ppp4/3P3P/2N1P3/PPP2Q2/R1B1KBNR b k - 3 9,160.0,138.0,b5b4,quiet,28,0.026479,22.0,0
1q6/6pk/6rp/3Q1B2/p4P1P/P2P2P1/1r3P1K/R7 w - - 1 30,-7.0,340.0,f5g6,capture,17,0.386302,347.0,0
5rk1/p4p2/3b2pQ/1p4P1/3p4/P4b1P/1q3P2/R3B1K1 w - - 0 24,-327.0,-781.0,a1d1,quiet,18,0.121085,454.0,0
2rqkb1r/pb3p2/2n2p2/2p5/Q2p3B/3P2PP/PP2PPB1/R3K1NR b KQk - 0 10,-5.0,-53.0,f8e7,quiet,26,0.068492,48.0,0
7k/2r4p/2q2p2/8/6Q1/1N4P1/1K3P1P/8 w - - 4 34,-199.0,-191.0,g4d4,quiet,11,0.008531,8.0,0
1B6/1p1k4/p7/2p5/8/PP4P1/6P1/1b3K2 b - - 1 32,2.0,23.0,b1a2,quiet,11,0.030173,21.0,0
8/3nkp2/p6R/2q3p1/1b6/4PB1P/p3NPP1/B4K1R b - - 4 24,47.0,9.0,c5c2,quiet,18,0.054280,38.0,0
r7/pppq1pk1/2np3p/b7/2P1rPb1/N3P3/P2PN1RP/R2Q2K1 w - - 0 15,-179.0,-130.0,h2h3,quiet,25,0.058178,49.0,0
3R4/1k6/pP2K3/P7/8/8/8/5r2 b - - 34 63,-140.0,-161.0,f1e1,quiet,7,0.025188,21.0,0
5r1k/2Q4p/1P4p1/4R3/1q1p1P2/2nB1P1P/p1P2K2/R7 b - - 1 33,-454.0,-527.0,b4b2,quiet,18,0.022350,73.0,0
