fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
2r4k/R5pp/1pp5/8/8/1P1B4/P1P2P1r/2KN4 b - - 0 26,-134.0,-197.0,c8d8,quiet,15,0.072764,63.0,0
r4b1r/p2b2pk/n2p3p/1B1q1p2/4p3/PP2P2P/1BQ2PP1/2K3NR w - - 0 17,-388.0,-167.0,b5a6,capture,25,0.179831,221.0,0
2r1k1nr/p2q2pp/5p2/1p1B4/1b2P1b1/1P1Q4/P2P3P/R1B1K1NR w KQk - 4 13,-242.0,-141.0,g1f3,quiet,24,0.108618,101.0,0
8/8/6k1/3p2p1/p2P4/B1P5/1P3K2/3b4 b - - 5 46,-60.0,79.0,d1b3,quiet,10,0.197269,139.0,0
8/3k4/6n1/6P1/8/8/3K4/8 b - - 4 62,260.0,267.0,d7e6,quiet,4,0.005946,7.0,0
3r2k1/p1q2pn1/5R2/1p4Pp/2pPB1b1/8/PP3Q2/5NK1 w - - 4 30,-52.0,-39.0,f1e3,quiet,19,0.018389,13.0,0
8/7b/7P/8/5k2/8/7K/8 w - - 20 68,-143.0,-281.0,h2g2,quiet,4,0.139549,138.0,0
5R2/p7/4k3/8/2pp3p/P7/1P2n2P/7K w - - 0 36,17.0,186.0,f8e8,quiet,11,0.220285,169.0,0
5k2/5P2/2n1P3/5K2/8/8/8/8 b - - 14 79,-89.0,38.0,f8e7,quiet,5,0.179821,127.0,0
8/5Q2/kp6/2q4p/7P/P3N1P1/4b2K/8 w - - 6 43,302.0,224.0,f7e8,quiet,11,0.066437,78.0,0
8/5N2/5kp1/6Np/3b2P1/2nP1K1P/5P2/8 b - - 0 42,-246.0,-86.0,h5g4,capture,12,0.183428,160.0,0
r3kb1r/p2n1ppp/2pqp3/1p1n1b2/2PP4/5NP1/P2BPPBP/RN1Q1RK1 b kq - 0 10,-219.0,-74.0,b5c4,capture,30,0.174228,145.0,0
3r2r1/pp3nkp/8/2B5/2PN3P/1P5b/P7/1K2R3 w - - 1 28,-456.0,-401.0,b1c1,quiet,16,0.022884,55.0,0
2kr3r/1p2p3/1bn2p2/5b2/5Ppp/N1B3P1/PP4BK/R3NR2 w - - 1 24,203.0,-16.0,a3c4,quiet,22,0.285895,219.0,0
3r3r/1k4bp/p7/qp2p3/1R2P3/2p2NPR/4PP2/1Q2K3 w - - 1 26,-178.0,-428.0,e2e3,quiet,19,0.185685,250.0,0
1k6/7p/8/q7/2P5/3P1Q2/2K1B3/8 w - - 3 43,323.0,509.0,f3f8,quiet,8,0.084092,186.0,0
r4rk1/pp2b1p1/4pn1p/2pp4/5B1P/P1N1P3/1PP1BPP1/R3K3 b Q - 1 14,99.0,180.0,f6d7,quiet,24,0.099371,81.0,0
r2qr3/1p2n3/pbk1PQ1p/3p1p1P/P2p4/BP1B4/2P3P1/R2K1R2 b - - 4 27,-338.0,-365.0,c6c7,quiet,24,0.016036,27.0,0
3rk2r/2p1qpp1/p6n/1p1P3p/1P2N3/P2B1P1b/2P5/1RB1Q1K1 b k - 0 18,163.0,200.0,h6f5,quiet,23,0.040990,37.0,0
rnbqkb2/p1p3p1/4p2r/3p3p/7P/Pp1BP1P1/1B3P2/RN1Q1RK1 b q - 2 9,108.0,113.0,c7c5,quiet,26,0.006514,5.0,0
8/8/2p1k3/8/p1P5/3PB3/PPK5/5b2 w - - 12 42,369.0,322.0,b2b3,quiet,10,0.028680,47.0,0
3r2k1/1p4p1/2n4r/p1b4p/P1N2P2/2P3PR/1P4P1/4RK2 b - - 6 23,64.0,149.0,c5a7,quiet,19,0.111107,85.0,0
8/3b2bk/1p2p1Np/p4p1P/P2r1P2/1P3BQ1/4R2K/2q5 b - - 9 35,157.0,191.0,d4d3,quiet,19,0.038441,34.0,0
r2k1n1r/pbp3p1/1p1pB2p/5P2/3PnBPq/2P2QRN/P6P/R3K3 w Q - 5 15,105.0,-80.0,e1c1,quiet,26,0.259806,185.0,0
B7/8/1k6/5p2/8/2Kp1P2/3P4/r7 w - - 5 69,-206.0,-201.0,a8d5,quiet,8,0.005199,5.0,0
2kr1b1r/pbp1qpp1/1p2pn2/6Q1/2PPp3/1PN1P1NP/PB3P2/2KR3R w - - 5 12,67.0,104.0,h3h4,quiet,28,0.050109,37.0,0
r2qk1nr/5p2/p2pp3/2p1n2B/4P2P/4N3/PRPP2P1/3QK2R b Kkq - 0 13,95.0,-10.0,d8f6,quiet,23,0.147795,105.0,0
8/1r1P4/4k3/4p3/8/4K3/3R4/8 b - - 0 77,-104.0,114.0,b7d7,capture,6,0.303767,218.0,0
r1b1k2r/ppp2pbp/3p4/3P4/5p2/1PPP1q2/P2B1N2/R3K2R w KQkq - 0 18,-968.0,-1067.0,a1b1,quiet,23,0.001642,99.0,0
8/1pkb1q1p/r2p1b1p/p2P1p2/PpN2Q2/3RRN2/2P3r1/2K5 b - - 1 22,345.0,584.0,g2g4,quiet,22,0.087171,239.0,0
r2b1rk1/5q2/bp1p1np1/2nPp1Bp/2P1P2P/2N2P2/1R1QB1P1/R4NK1 b - - 2 24,-144.0,-56.0,f6d7,quiet,27,0.116229,88.0,0
