fen,stockfish_eval_cp,stockfish_bestmove,stockfish_depth,B_eval_cp
"N1k4r/pp4pp/3b1n2/1B1P4/6PP/2N5/PPbK1P1R/n1B5 w - - 1 15",-19,h2h1,8,245.0
"8/8/8/8/4kn2/2b5/5P2/6K1 b - - 9 60",348,e4f3,8,628.0
"8/1pk5/3b2N1/2p5/2q1nPN1/B3P3/3P4/4K3 w - - 2 37",-539,g4f6,8,-475.0
"3rkr2/1b3n1p/1p2BQ2/pP1NpP2/1bq4P/3n4/PB1P1NP1/R4RK1 w - - 5 19",350,d5b4,8,240.0
"2rqk2r/pb1n1pp1/4pn2/1Bb4p/8/PP2P2N/1B1R1PPP/1N1QK1R1 b - - 2 10",-86,b7c6,8,14.0
"2kr1b1r/1pp2p2/2n1b2p/p2qp1P1/3p3R/3P1N2/PPP1QP2/R1B1KB2 w Q - 1 10",-149,g5h6,8,-161.0
"1r3rk1/ppp2ppp/8/5b2/2Q5/P3R3/1q3PBP/4R1K1 w - - 2 17",-220,c4c7,8,-202.0
"5rk1/p2b1r2/Bp1b3p/3N2p1/1P1Pp1P1/P3Bp1P/5Pn1/2RK3R b - - 0 28",213,d6f4,8,250.0
"r2qr1k1/3b3p/3P1np1/pp3p2/1n1PpN1P/4N1PB/PP1Q1P2/2R2RK1 w - - 1 16",213,h4h5,8,217.0
"3nkb2/6p1/3pPp2/P3p2r/4N3/6R1/1B2PP1P/3K4 w - - 0 23",251,a5a6,8,130.0
"8/8/8/4k3/6K1/5r2/8/8 b - - 5 80",450,f3b3,8,490.0
"8/2p5/5k2/3R2pp/7n/2rB4/5K2/8 b - - 1 43",449,c7c6,8,360.0
"3Q4/8/6k1/8/8/8/3K4/8 b - - 2 62",-492,g6f5,8,-710.0
"6k1/5rp1/2P5/8/8/1P2r3/7P/3RR2K b - - 0 33",-230,e3b3,8,-226.0
"2k5/p1p4p/1pb5/8/7B/P2P3P/P1PK4/4RBrn w - - 2 21",281,d3d4,8,322.0
"br2r1k1/4qpp1/p1nb1n1p/2B5/1P4P1/5N1P/2Q1NPB1/2RR2K1 b - - 2 19",257,d6c5,8,-87.0
"2k1r3/pp6/2p1P3/3p4/1b1P1B2/PPNb3r/1K3R2/6R1 b - - 0 36",65,b4a5,8,104.0
"1b2rrk1/3qn1pp/P1p1p3/1p1n4/3P2P1/8/1PP2PB1/R1BQR1K1 w - - 1 18",-389,a1a3,8,26.0
"3qr1k1/1b3pp1/4n2p/1p1n4/3P4/1P4PN/1B3PBP/3QR1K1 w - - 0 21",15,f2f4,8,67.0
"2r4k/R5pp/1pp5/8/8/1P1B4/P1P2P1r/2KN4 b - - 0 26",-250,h7h5,8,-160.0
"3b1R2/6k1/1Q4p1/1p1b4/2p1P3/1P1n4/7P/5RK1 b - - 0 33",182,d8b6,8,-643.0
"6k1/p5pp/2p2p2/4pn2/P1P4P/1PN3P1/1KP2P2/3rN2b w - - 0 22",80,c3d1,8,-229.0
"5r1k/r1qpn1pp/2b2p2/2R4N/4p3/7P/3Q1PP1/2R3K1 w - - 0 20",-355,h5f4,8,-332.0
"6k1/4pp1p/n1B3p1/2pPP1P1/7P/prN5/8/R5K1 w - - 3 29",185,c3b5,8,78.0
"8/8/8/5p1p/7P/1R5K/5k2/3r4 w - - 2 70",-16,b3b2,8,-160.0
"k1r5/1p1b2pp/8/b2q4/P2Bp3/4Q3/5P1P/1R4K1 w - - 2 36",-393,h2h4,8,-423.0
"r4rkb/1bq2p1p/n1Np1npP/1B2p3/p3P1P1/2P1BP2/PP6/R2QK1NR w KQ - 3 13",6,d1a4,8,147.0
"3r4/pp3pkp/3q4/3Nr1p1/3p4/P5PQ/1PP3BP/3K3R w - - 0 21",-182,h1f1,8,-51.0
"7r/pp1bnk2/3pp3/3p1p2/3PnNp1/PP2PP2/1BP1Q1P1/R3KBq1 b - - 0 16",332,g4f3,8,-121.0
"r4rk1/p3nppp/B1n2q2/2pp4/3b1P2/B5PP/P2P1P2/1R1QR1K1 b - - 1 12",458,e7g6,8,247.0
"r4b1r/p1pq1k2/P3pn1p/R1p2pp1/1pP2P2/1Q1P2P1/1P1NP2P/2B1K2R b K - 3 13",43,g5g4,8,-94.0
"r4r1k/2ppq1pp/b1pb1pn1/8/N2QP3/P3B3/1PP1BPPP/R3K2R b - - 6 16",239,a6e2,8,-71.0
"r2k1b1Q/1p1b4/2q2pr1/pNp1p3/2PpP3/3N1B2/4K3/RR6 b - - 1 25",-189,d8e7,8,75.0
"8/B2R4/5pp1/p1p5/P1n1kPP1/2r5/4KP2/8 w - - 2 34",-35,g4g5,8,-117.0
"8/8/R5pk/8/2r5/7P/2P2RK1/1r6 w - - 9 45",18,f2e2,8,32.0
"8/6pk/p1R2p1p/8/PP1pr2P/6K1/3Bb3/8 b - - 2 35",325,h7g6,8,236.0
"6k1/P4rp1/2pq4/4p3/2P4b/8/3PP2P/3K2R1 w - - 0 32",-412,a7a8q,8,-599.0
"5q2/1k5P/1pp3K1/5p2/2P5/p3P3/6Q1/8 b - - 10 51",0,f8e8,8,-17.0
"5rk1/2p3b1/7p/3b1p2/3P1B1q/4Q3/1P2B1P1/5RK1 b - - 3 24",8,f8b8,8,44.0
"8/4p1k1/6p1/2P4p/3q2p1/4P1P1/5P2/6K1 w - - 0 36",20,e3d4,8,-790.0
"r1b2rk1/2qn1pb1/p2p1n1p/2pP2p1/1PP1Pp2/1P1B1N1P/RBN3P1/3Q1RK1 b - - 2 12",6,c5b4,8,36.0
"1r1r1b2/5pk1/1pq1pn1p/p1p3p1/P1N5/N1PP2P1/1P2QP1P/3RR1K1 w - - 12 22",128,f2f4,8,46.0
"8/1p1r2k1/2n3p1/p3p2p/P3P3/2P1Pq2/2Q2P1R/1R2K3 b - - 2 28",-88,g7h6,8,-75.0
"1kr5/1p6/p3b3/5n2/1P1P1R2/P3p3/4N2P/4KB2 b - - 3 32",9,c8c2,8,111.0
"5Q2/1p6/p1p1R1r1/6k1/2Pq4/1P3b2/P2p1P2/1K6 w - - 8 52",-442,f8e7,8,-428.0
"r7/p3q2k/bpp1p2p/n2pPp2/2P1n3/1PB1P1P1/P5BP/2RQR1K1 w - - 1 21",343,g2e4,8,264.0
"4r3/1k6/2b3Q1/1pq5/4p1pP/6P1/1RP3BK/4B3 w - - 5 38",576,c2c4,8,118.0
"1r2r3/1pnnbk2/p1p2pp1/N3p2p/PP1PPB1P/8/4KPB1/2RR4 w - - 0 25",-18,d4e5,8,-130.0
"8/1p5k/3K4/4N3/3B4/p5R1/8/3r4 w - - 4 52",330,d6c5,8,470.0
"4r1k1/2qn2p1/1ppb1p2/p2p1b1p/P6P/1P1N1PP1/1BPQ1PB1/2R3K1 b - - 1 17",57,d7e5,8,121.0
"r7/1p1rb2p/4k1p1/1pP5/1P2p1KP/pR2B1P1/P4P2/2R5 b - - 1 32",17,d7d3,8,-143.0
"3b2k1/1p4q1/3Q4/pN1p2p1/Pn1P4/5P2/1P3B2/6K1 b - - 8 37",-21,g7f6,8,22.0
"2r5/4bk2/2r2n2/p6q/3pp3/P5R1/4PP2/1R1Q1K2 w - - 0 27",-480,b1b7,8,-622.0
"r1b4r/1p2k1pp/2n2n2/3p4/1p6/5NP1/P2NPPBP/R3K2R w KQ - 4 12",-45,e1g1,8,-46.0
"8/6kp/4p2p/7P/2pr4/5BP1/5PK1/8 w - - 0 54",-557,f3g4,8,-424.0
"6k1/p4p1q/1p3Q2/3pN1p1/3P4/3rP1P1/P4P2/5RK1 b - - 0 24",-474,d3d2,8,-237.0
"8/2k1r3/3b4/8/P7/8/2K2R2/8 w - - 5 56",21,c2b2,8,-206.0
"1r6/8/8/2B1kp2/1P6/5BKP/8/8 w - - 2 56",334,f3c6,8,360.0
"r1bbk1nr/1qp5/p1np2pp/1p1NppN1/1P3P2/1BP5/P3Q1P1/R1B2K1R b kq - 0 12",152,g8f6,8,218.0
"3r2k1/r5p1/p2p2B1/1p4PR/2b1N3/P3nN2/1PP3P1/2KR1n2 w - - 2 22",235,d1d4,8,260.0
"2r1k2r/p2pbppp/np2p3/2qnP3/3NNP1P/6P1/PPP3K1/R1BQ1R2 b k - 2 10",-45,c5c7,8,31.0
"2R5/2p1Rppr/p7/pk5p/r7/4B2P/2b3P1/6K1 w - - 2 28",102,e7c7,8,-460.0
"7r/8/ppkp4/2p1r1R1/P2p4/1P3P2/2KPP1RP/8 b - - 0 31",32,e5g5,8,-145.0
"r2qk1r1/p2n3p/2p1p1bQ/Pp1p1p1n/1b4P1/2NPPN1P/1BP2P2/R3KB1R b KQq - 0 13",331,b4f8,8,126.0
"R1Q2b2/2p2rk1/2n3pp/2p5/5qP1/R6P/8/3K4 b - - 1 35",779,f4f1,8,577.0
"4r1k1/5pp1/rb6/1p1p3p/1P1N3P/1NPb4/p4KP1/R2B3R b - - 1 27",-59,e8c8,8,244.0
"8/8/2k5/p7/8/1P6/1K5R/4r3 w - - 6 75",2,b2a3,8,-28.0
"r2k3r/2pb2q1/3p2Bp/7P/1Q6/P3R1P1/8/1K3R2 b - - 0 28",-9,h8f8,8,-31.0
"r2qk2r/1pp1p1bp/1n1nbpp1/pP1p4/P2P3P/2N3P1/2PNPPB1/R1BQ1RK1 b kq - 4 9",21,f6f5,8,79.0
"8/3k3p/5R2/8/8/8/3K1N1r/8 b - - 10 60",0,d7e8,8,-193.0
"rn1q1rk1/p2p2pp/1p2p3/5p2/2B2P2/1PN1Q1PP/PB6/R3K2n w Q - 0 12",222,e1c1,8,-105.0
"k7/7R/2r4p/7P/4K3/8/8/8 w - - 1 68",7,e4d4,8,227.0
"k7/2K5/P6q/1p2P3/8/2P5/8/8 b - - 0 56",527,h6a6,8,611.0
"r2k3r/1pp1n3/p2b3p/4N3/q3P2P/P1B5/1P3Q2/2KR2R1 b - - 2 27",-384,a4e4,8,-236.0
"2rq1r2/3b2kp/6p1/1p1P3n/p3p3/1B2N2P/PPPQ1P2/1K1R3R w - - 0 21",-194,d2d4,8,30.0
"1k1r4/pbp2p2/5B1p/2bq1B2/8/pP4P1/2PP2PK/R4R2 w - - 6 22",-350,f5h3,8,-545.0
"r6r/p1q2k1p/p1pRn1p1/3p1p2/N4P1Q/BP1P4/2P3PP/6K1 w - - 3 17",-82,g1f1,8,6.0
"2rq2k1/3p1rb1/1p4Q1/4p1P1/1RP2p2/P7/5P2/2B1K2R w K - 1 21",108,a3a4,8,135.0
"6k1/8/1R6/8/4K3/8/8/6r1 b - - 3 56",0,g1h1,8,6.0
"8/8/1kNK2p1/p7/2r4p/5P1P/6P1/8 w - - 0 45",-458,c6a5,8,-319.0
"2R5/8/2n1k3/p2r4/b3N1P1/2B5/6K1/8 w - - 1 49",7,c8h8,8,36.0
"r3kb1r/1ppbqppp/2n5/p2p4/P2PnPPP/4R3/1PP1B3/1NBQK1NR w Kkq - 1 9",-37,c2c4,8,-95.0
"8/1k3p2/3q4/P1n5/2P5/2Q2P2/1KB5/8 w - - 7 68",173,c3b4,8,327.0
"r3k2r/pp1n1pp1/2pbpn1p/q4b2/2PP4/1PN1QN2/PB2BPPP/3RK2R w Kq - 8 9",71,e1g1,8,50.0
"5r2/6pk/p6p/7q/8/Pp6/1P6/K3R3 b - - 3 37",813,f8e8,8,930.0
"8/2k1r3/7p/7R/3p4/3N4/8/5K2 b - - 5 45",-15,e7h7,8,-22.0
"5k2/3R1b2/2rn4/5p2/5K2/8/8/3B2R1 w - - 20 60",75,d1f3,8,413.0
"8/2rBK3/1k5P/8/p7/8/2b1R3/8 b - - 2 54",7,a4a3,8,-99.0
"4k3/pb6/p2PP3/8/7P/6P1/8/2b2K2 b - - 0 37",450,c1a3,8,358.0
"8/q5k1/P1p2bp1/3b4/R5P1/3Q4/8/5K2 b - - 2 45",113,a7f7,8,-23.0
"3r3k/6p1/7p/5R2/5P1P/3p1BP1/7K/4r3 b - - 0 47",486,d3d2,8,302.0
"1k2rbr1/1bp1Bp2/ppq4p/5Q2/3P4/P1P2N2/1P1N1PPP/R3K2R w KQ - 3 14",201,e1c1,8,214.0
"4r1k1/1p6/p2p2p1/P2P1b1p/1PPb4/8/3B1PR1/5BK1 b - - 2 34",109,h5h4,8,136.0
"r3kb1r/4npp1/1pn1p2p/p1p5/Q1P2PPq/P1N2P2/1P1BK2P/3R1B1R b kq - 6 9",16,e8c8,8,-9.0
"r4rk1/1bpp4/2N4p/p1qn1pp1/P7/1R3PP1/4B1KP/3Q3R w - - 0 24",-217,d1d4,8,-205.0
"4rrk1/p2n2p1/3p1q2/1ppP1p1P/5P2/PP1QPB2/8/2RK2R1 b - - 1 26",-16,f6e7,8,35.0
"rr3n2/2b2qpk/p1p1bn2/1pPp1p1p/1P1Pp3/PN2P1PP/K1Q1BP2/1NB3RR w - - 0 19",-38,g3g4,8,-2.0
"r3kbr1/2pb3p/p3p3/1p2Np1n/2pP3q/PnN1B2P/1PQ1PP2/3RKB1R w Kq - 2 13",-166,d4d5,8,20.0
"r3kr2/p1p1b1p1/1p5p/3Ppq1n/2P1N2P/P4P2/1PQ2B2/2KR3R b q - 1 15",-17,f5f3,8,-81.0
"r2qkbr1/pp5p/n1n1b3/1N1pN3/P5P1/8/1B1PP1B1/2RQK2R b q - 0 15",-80,c6e5,8,-96.0
"3k2r1/2p5/1p3qP1/p2N4/6Q1/8/PbP5/1K2R3 b - - 0 34",-382,f6g6,8,-123.0
"2r3k1/1B3qn1/1P1pp3/p7/2P5/5Q2/P4PP1/1R4K1 b - - 0 33",-430,c8c4,8,-224.0
"q3r3/3b2p1/3Q1nk1/r4pp1/8/4P2P/3P2P1/1RB1KB1R w - - 1 22",-150,h1g1,8,-88.0
"2kr3r/pp1b1p2/2n1qnpp/2bN4/6P1/P3BN2/1PP2PBP/R2QK2R w K - 5 10",-100,c2c4,8,53.0
"1b6/5k2/8/5pPR/3B4/4P1P1/5PK1/2r5 w - - 1 58",609,h5h6,8,402.0
"2k5/1p4R1/1Bpb4/6Pp/4b2n/P4r1P/1P6/3R2K1 w - - 0 29",403,d1d6,8,172.0
"3rk1nr/ppp3pq/4bp2/PPb1p1p1/8/2N4P/1P1BBPP1/R2Q1RK1 w k - 1 12",-176,b5b6,8,-25.0
"8/5k2/p4p2/1p1r3p/4KP2/P5R1/8/8 b - - 1 64",395,d5c5,8,247.0
"r2qkb2/ppp2pr1/4pn1p/3p1b2/PnPP1N2/N3P3/1P2B1PP/R1BQ1RK1 b q - 6 9",49,f6e4,8,-31.0
"2r3r1/1p1k3q/p1nbpn1p/3p1pp1/P2P4/1PPB1NPP/1BR1QP2/5K1R w - - 2 22",49,c3c4,8,42.0
"4r1k1/1pq1rpb1/p2np1p1/P2p2Pp/3P3P/2PNN1Q1/1P2RP2/4R1K1 w - - 5 27",-3,g3h2,8,73.0
"8/8/8/q3n1k1/4B3/3PP3/1P2Q3/1K6 w - - 7 65",439,d3d4,8,345.0
"7R/8/8/2pB2rp/2P1K3/8/1k6/8 w - - 10 58",339,h8h6,8,382.0
"8/5k2/8/4P3/4b3/7P/5KP1/8 w - - 12 64",-8,f2e3,8,-19.0
"2kr2r1/pp2bp1p/1qp1b3/3pP3/3N1Q2/1N1P2P1/PP5P/R4R1K b - - 8 15",212,g8g4,8,38.0
"rn1qk2r/ppp1bpp1/2n1b2p/4p3/4N3/2PPN3/P4PPP/R1BQKB1R w KQkq - 4 9",-179,d1f3,8,-168.0
"r4b1r/p2b2pk/n2p3p/1B1q1p2/4p3/PP2P2P/1BQ2PP1/2K3NR w - - 0 17",-292,b5d7,8,-308.0
"k1b3r1/1pP5/1n1P3p/p7/1q2BB1P/5N2/2Q4K/8 b - - 1 32",231,g8g4,8,-43.0
"r4k2/ppp4p/4q1pb/1P2N3/3PP2P/2P5/P1Q1K3/7R w - - 0 21",358,c2b3,8,165.0
"8/1p6/3q1b1k/3p1B2/2r2n1P/P3Q3/K5R1/4R3 w - - 3 43",790,g2g6,8,89.0
"4k2r/2r1bpp1/1NP1p3/1P2PP1p/p3q3/P3B2P/3Q2P1/3R2K1 b - - 0 30",-524,e4f5,8,-313.0
"4r3/1p1k1p2/p7/n2N1r2/P6R/2KP4/8/1R6 w - - 2 32",-51,h4d4,8,-134.0
"2k5/3p1Q2/p1p5/2b3p1/8/P1P3N1/1P1q1P2/6K1 b - - 0 31",153,d2b2,8,-35.0
"r1bqkbr1/1pn2ppp/2p4n/3p4/3Pp3/PQp1N1P1/4PP1P/RNB1KB1R w KQq - 0 9",-230,b1c3,8,-199.0
"r4rk1/1Np4p/P2q1p2/P2p2pb/3Pp3/2Q1P3/2P2PR1/4KB2 b - - 4 28",195,d6d7,8,65.0
"8/1p2r2p/6k1/5pP1/1p3B2/1P1PP3/PK6/8 w - - 3 29",-212,d3d4,8,-194.0
"r1q2rk1/p2pppbp/2n2n2/3N4/2P2B2/3B1pP1/1P3P1P/3Q1RK1 b - - 6 14",302,g8h8,8,262.0
"2b1kbnr/1pp2pp1/2n1p2p/3q4/2PP1P2/5NP1/1B1N3P/r2QKB1R w Kk - 0 11",28,d1a1,8,-243.0
"r2q1r1k/2p1b1pp/p2pQn2/1p4N1/8/1PPBP3/PB4PP/R2K3R b - - 2 15",-320,d6d5,8,-8.0
"r1b2rk1/2q2np1/p2p1nR1/1p2p3/3PP3/4QN2/PPN2P2/2KR1B2 w - - 1 17",164,g6f6,8,-3.0
"8/8/3p1rnk/1N1Pp2p/1p2P2P/1Pp5/K1P5/7R b - - 7 59",94,h6h7,8,61.0
"r1b1k2r/ppp1qpb1/P1n1p1p1/1B5p/1n1P4/2N2N1R/1PP2PP1/R1BQK3 b Qkq - 2 9",96,b7a6,8,2.0
"r1bqkbn1/6p1/2p1n2r/pP1pPQ2/P6p/4PN2/1P1N2PP/R1B1KB1R b q - 4 13",-41,f8b4,8,-118.0
"3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27",202,h3g2,8,-141.0
"8/5k2/r5p1/5p1p/5P1P/6P1/4R3/5K2 w - - 0 47",-8,f1g2,8,-33.0
"1r2kb1r/3b2pp/B2qpn2/3pN3/P2p4/7P/3BQPP1/2R1K2R b k - 6 20",38,d7a4,8,68.0
"r1bqk2r/4ppbn/2np4/7p/2NpP1pP/p2B2N1/2PB1PP1/R2Q1RK1 w kq - 0 13",58,c4a3,8,-120.0
"3k4/5p2/8/5B2/3P3P/4Q3/1p4K1/q7 w - - 0 53",174,e3g1,8,90.0
"r1b1k2r/p4qb1/p1P2pnp/3p3Q/4pP2/1P2P1P1/PBP1N2P/R3K2R b KQq - 3 14",268,g6e7,8,130.0
"8/r5k1/1p1R2p1/7p/1PP4P/5BP1/2q2PK1/b3Q3 b - - 14 35",-335,c2c4,8,-255.0
"2rq1bk1/1p3p2/2p1pnpn/7p/3P1P1P/3BP3/P5PN/2R1Q1KR b - - 3 18",119,c8a8,8,-106.0
"3rn1k1/1R2pp1p/2Nq2p1/2p5/r1b2PP1/p1Q5/P3P1BP/5RK1 b - - 0 26",-183,e8f6,8,95.0
"2k4r/pp2r1pp/2b1n3/8/6P1/2P1p3/PP2B2P/2KR1RN1 b - - 3 19",75,h8e8,8,133.0
"r3kb1r/2p4p/1pPp1np1/p3q3/4P1P1/2P3Q1/1P3PBP/R1B1R1K1 w k - 4 16",643,c1f4,8,399.0
"5b2/2p5/ppk5/5p2/P1KBp3/1PN5/2P5/8 w - - 0 28",217,d4e5,8,145.0
"r3r1k1/pp3pp1/4bn1p/2bnN3/5P2/2P1N1P1/PP2R1BP/R1B3K1 w - - 1 17",68,g1f1,8,-90.0
"5rk1/2pq2p1/bp3p1p/p2p1n2/P2P1BN1/2P2Q1P/1P3PP1/4R1K1 w - - 6 22",108,f4c7,8,237.0
"8/8/2k5/pp1p2p1/3P4/P2NK3/1Pr1B3/8 w - - 10 40",35,e2d1,8,52.0
"r4b1r/p1n1kNpp/2B1p1q1/1pp5/8/3PQ1P1/PPP4P/R4RK1 b - - 0 16",-582,g6f7,8,-61.0
"8/2k1p3/2p5/1p6/1P6/2b1R3/3NKPP1/2r5 w - - 0 31",-15,e3e7,8,-9.0
"8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56",696,e2f2,8,898.0
"6k1/3b1p1p/3p1qpQ/3P4/2Pp4/pr1P3P/5PP1/R4BK1 w - - 0 27",-73,h6c1,8,-140.0
"2r2rk1/p2b2bp/2n1p3/2qp1pB1/8/P1P3P1/2N1PPBP/1R1Q1RK1 w - - 1 16",131,b1b7,8,86.0
"r5k1/8/8/5R2/2K5/2P5/8/8 w - - 6 52",379,f5g5,8,220.0
"r3kb2/pppb1p2/2n1p2p/1BP4p/Q4N2/8/PP3qPP/2KR3R b q - 3 10",141,f2c5,8,28.0
"5r2/1R3p2/p4k1p/3P1npP/P7/8/7K/1R6 b - - 0 44",-128,f8c8,8,-176.0
"3rk3/pp3p2/4b2p/3B4/3B3b/3K1Q2/P1PP3P/RN2r3 b - - 4 22",-204,e6d5,8,-619.0
"1k2r3/1pp5/2n5/pnq2p2/3p4/PP1Pr3/2PNBQPP/R1K1R3 b - - 10 21",589,b5c3,8,211.0
"2kr2nr/pbpq1pbp/1pnpp3/5P2/3PP1PR/2N1BN2/PPP1Q1B1/2KR4 b - - 5 9",-146,h7h6,8,-246.0
"4r1k1/1pB3p1/p6p/3P1q2/2Pr4/1P5P/P5B1/5RK1 w - - 0 23",444,f1f5,8,-535.0
"8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58",-3,h3g4,8,-222.0
"6k1/1pB2pp1/2p2b1p/p4N2/P7/1K6/3r1PPP/3r1B1R w - - 5 26",-550,c7a5,8,-246.0
"6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32",212,c5c2,8,127.0
"8/1R5p/P3kp2/2Kn4/8/5pB1/4r2P/6R1 w - - 2 36",399,g1c1,8,720.0
"r4r1k/p2q4/3b1p1p/3Q1P2/Pppp2P1/8/1PPN1P1P/R1B3K1 w - - 1 16",-38,g1g2,8,-55.0
"8/5p2/4k1b1/1P2n3/8/P1K1N3/8/8 w - - 3 37",-117,c3d4,8,-206.0
"1k1r4/2pq2p1/4b3/n3P2P/pp2Q3/b2pPN2/5PP1/B2RK2R w - - 1 29",96,f3d4,8,159.0
"3R4/4k3/p1q5/1p3nP1/4rP2/P7/3QPK2/8 w - - 9 37",-248,f2e1,8,-154.0
"7r/3P2p1/5qk1/p2Q1p2/P4P1p/4R2P/2r3P1/7K w - - 0 33",297,e3e8,8,-2.0
"2kr1b1r/1bpqn1pp/pn2pp2/1p6/3P4/P1PB1NNP/1P3PP1/R1BQK2R w Q - 1 10",-36,d1c2,8,-29.0
"B7/8/1p6/2p1b3/2P5/8/5k1p/3K4 w - - 6 55",-441,d1c2,8,-722.0
"1r1nkb1r/pbppnpp1/4p1q1/8/1p1PP1P1/2PBNP1p/PP5P/R1BQ2RK w k - 4 13",-252,c3b4,8,-164.0
"1R6/8/b1kPp3/P2p1n2/8/4P3/3N1PP1/4K3 b - - 0 28",-574,c6d7,8,-551.0
"8/1K6/1p6/1Pk2B2/3p4/7r/2P5/8 b - - 37 68",376,h3c3,8,285.0
"8/5R1R/8/8/6r1/6k1/4K1b1/8 b - - 13 48",-25,g4e4,8,-120.0
"r7/r2k4/4pp2/n2p2p1/3P2Pp/2PNBPbP/8/R2K3R b - - 0 34",262,a5c4,8,34.0
"1r1qk2r/p4p2/4p1p1/2n5/5P2/P1n2NPp/2B2P1P/1R1Q1RK1 w k - 0 19",138,b1b8,8,-23.0
"4kb1r/rb4pp/p1n2p2/1p1q4/3ppP1N/1P4N1/PB1P2PP/2RQR1K1 w k - 2 16",252,g3e4,8,11.0
"4r3/5k2/p1q4p/8/2P2B2/5b1P/P6K/6Q1 w - - 0 47",-464,g1a7,8,-450.0
"rkbQ1bnr/1p1R4/p1p2pp1/4P3/4Np2/6P1/5P1P/2q2BK1 w - - 0 18",-123,d8f8,8,-253.0
"5r2/2p3p1/2k5/2q5/7P/3PN2Q/P4r2/2R3K1 w - - 0 32",452,h3e6,8,-134.0
"r3kb2/pp3p2/n1pP2pn/7p/2P1PPb1/2N3PP/PP1R4/2K2B1R b q - 0 13",-60,g4e6,8,48.0
"1r2qr1k/3pb1pp/R1b1p3/3n1p2/1P1P4/N1P2P1N/2QB2PP/1R4K1 b - - 0 16",24,g7g5,8,59.0
"Q1bq1r2/4p1kp/8/1p1Bnp2/8/1P2BP2/P3N1PP/5RK1 w - - 2 20",579,e3d4,8,538.0
"1k2r3/2pbn3/1p1n4/p2p1p1p/P2P1P2/1KPBN1P1/2P4P/4B1R1 w - - 7 28",31,c3c4,8,128.0
"r4rk1/ppp3pp/1Nn2p2/4n3/4N1bP/2P5/PP2PPP1/R1BK1B1R b - - 0 11",-5,a7b6,8,-87.0
"r3k2r/1pq2p2/p2pbb2/2B1p2p/4P2P/2P2NQ1/PP2BPP1/3R1RK1 b k - 0 20",-184,c7c5,8,-249.0
"8/6p1/2k5/4RP2/1P6/1K6/r7/8 b - - 2 68",-23,a2f2,8,-243.0
"r5k1/1p1b1pp1/p2b3r/2pp2q1/P7/1Q1PPB1P/1B3PP1/R4RK1 b - - 4 19",194,d7h3,8,38.0
"r1bqk2r/1pp3bp/n2ppnp1/pN6/5B2/5N2/PPP1QPPP/2KR1B1R b kq - 3 9",147,e8g8,8,-2.0
"8/p3k3/4b3/P7/BP3p2/2NK1P2/4P3/2r5 w - - 0 39",5,d3d2,8,-37.0
"rnbqk2r/4b1pp/2p1pn2/p4p1P/Pp1P1P2/1Q2PN2/3N2P1/R1B1KB1R w KQ - 1 11",75,f1c4,8,-50.0
"4rbk1/5bp1/5p2/7p/3B4/1q2NQ1P/5PP1/3R2K1 w - - 3 43",-10,g2g4,8,72.0
"2B5/5N2/8/3k4/5p2/3b1P1K/1r5P/4b3 w - - 0 58",-464,f7g5,8,-542.0
"r3k2r/pbppbp1p/1pP3p1/4P3/1P2nP2/PK3N1P/5qP1/RNBQ1B1R b kq - 2 12",-160,b7c6,8,179.0
"3rk1r1/1p3p2/4p3/2q1P2R/4B1P1/2Nn1P2/3Q4/1R3K2 b - - 0 28",-379,d3e5,8,-241.0
"5k2/3p1N2/b2N1np1/p1Kp1P1p/1r6/8/6PP/4R3 b - - 2 29",261,g6f5,8,498.0
"r2qk2r/1b1n1ppp/p2b1n2/2pp4/8/1PN1PP1N/P3B1PP/R1BQ1RK1 w kq - 0 10",-40,c3e4,8,37.0
"r4rk1/3qbp1p/n4npP/2pp4/4p3/1P2P3/1BP1NPP1/RN1QK2R b KQ - 3 12",181,a6b4,8,13.0
"4R3/1k6/1p6/8/P7/8/3K4/8 b - - 0 48",-495,b7c7,8,-445.0
"r7/7r/1p2Qpkp/1B4p1/PB6/2R5/6KP/3q4 b - - 4 30",-180,h7f7,8,-105.0
"7R/1p3k1p/1p3p2/6p1/4PP2/8/PP5P/4KN2 w - - 0 30",784,h8h7,8,737.0
"3r2k1/6p1/p1p1p2r/1pbn1q2/3P1P2/8/PP1B1RQP/4R2K w - - 0 24",-98,d4c5,8,-219.0
"5r2/3R1Pk1/p1R5/8/P4PP1/3b4/1P2p3/4K3 b - - 4 34",-504,f8b8,8,-593.0
"8/8/5kp1/4p2P/6P1/4b3/6K1/8 b - - 2 49",505,e5e4,8,415.0
"1r1q2k1/5p2/2p1rppp/2Q5/3P4/1P3N2/P1K2PPP/R2R4 b - - 1 17",-326,d8e8,8,-289.0
"r5qr/1bp1n1k1/ppnbpp2/P5p1/3PB1P1/1PPN3p/3NQP1P/R1B1R1K1 b - - 0 14",-36,c6a5,8,-86.0
"8/4kp2/1p1qp3/1P5p/5P2/2Q3K1/8/8 w - - 0 51",-382,c3b2,8,-297.0
