fen,stockfish_eval_cp,stockfish_bestmove,stockfish_depth,B_eval_cp
"r1b1k2r/pppp4/4n1pp/3Qp1q1/4P3/1PN1P3/P1P3PP/R3KB1R w kq - 3 12",68,e1d2,8,30.0
"2k5/6Q1/p2q4/1p6/3pP3/3P4/1P6/1K6 w - - 11 38",53,e4e5,8,203.0
"4rrk1/pp1b2pp/1n3q2/2pPbp2/3n1N1P/1PNQ1PP1/PB1P4/R2K1BR1 w - - 3 18",-91,f4e2,8,-43.0
"2rq1rk1/pp2ppbp/3p1np1/n7/P2PP1b1/2N1BN2/1Q2BPPP/R4RK1 w - - 5 12",-86,a1c1,8,-27.0
"r3k2r/p1pnpb1p/1q3np1/1B3p2/QN6/2P1P3/P4PPP/R1B1K2R b KQkq - 6 11",-30,a7a5,8,46.0
"r4k1r/ppp1qpp1/3p1nbp/8/1nPP4/1PN2NP1/PR1QP2P/4KB1R w K - 3 10",-43,e1f2,8,-1.0
"6k1/5p2/6p1/3qP1QP/3P3R/1Pr5/P1r5/K5R1 w - - 0 42",507,h5g6,8,345.0
"r7/pppq1pk1/2np3p/b7/2P1rPb1/N3P3/P2PN1RP/R2Q2K1 w - - 0 15",2,h2h3,8,-323.0
"8/2p2R2/3k4/p4p1r/np2pP2/4P3/2P5/2KN4 b - - 2 35",400,a4b6,8,350.0
"3r1k2/p5p1/1p2p2n/2pq4/4N2Q/1PRPP3/P3KP2/8 w - - 6 27",40,e4d2,8,90.0
"6r1/8/4k3/P3p3/1PR4N/7K/5r2/8 b - - 0 47",264,f2f1,8,165.0
"r6r/p3bk2/R2p4/1b1Pp1p1/4P2p/4BP2/1P5R/4K1N1 w - - 1 22",-193,a6a7,8,38.0
"6k1/8/8/1p1P4/2b4r/4P1K1/1Q1R2P1/5r2 b - - 4 48",-267,h4h7,8,-257.0
"8/pk1r4/1np5/R5Rp/7P/5b2/1P6/2K5 w - - 3 39",-222,a5f5,8,-268.0
"1r2k2r/5p2/2p1p1p1/pb1pP1P1/4qP1p/2P2B2/P3P2P/2RQ1R1K b - - 4 21",214,e4f4,8,68.0
"1r1r2k1/4n2p/pp4p1/2p1n3/N1PpPQ1q/3P4/PP2B2P/1RK2R2 b - - 4 22",285,h4f4,8,188.0
"1r5k/p7/6B1/2ppp2P/7B/5r2/P7/6RK w - - 2 34",65,h1g2,8,115.0
"8/p2r4/1pk5/P1p5/2P5/1P6/2K5/6R1 b - - 1 37",0,c6b7,8,73.0
"k1r5/P3Rp2/5q2/p6p/5B2/3Q4/6PK/8 b - - 0 47",74,f6e7,8,-325.0
"rr6/1bp2q1k/3pp3/n2n1pB1/p2PP1pP/P1RB4/1PQN2P1/4K2R b K - 0 21",24,d5c3,8,-34.0
"8/8/2p1k3/5R2/2pr4/2NnK3/8/8 b - - 0 62",207,d4h4,8,288.0
"1k1r1b1r/ppqn1p2/2pnp2p/5bp1/3P4/NQN1P2P/PP1BBPP1/R4RK1 b - - 10 14",64,h6h5,8,42.0
"8/1pp2q2/6p1/2R5/2Pp1k1p/2r5/5P1P/4QK2 w - - 28 56",0,e1e5,8,-302.0
"1r3rk1/p1q3p1/p6p/2p1b3/3pP3/1P5P/P1P1NPP1/R2QK2R b - - 0 20",140,c5c4,8,193.0
"r4rk1/1pp1q1b1/p2pPnp1/P4p1p/4pPnP/R3P3/BPPBN1P1/3QK2R b K - 2 15",188,f8e8,8,131.0
"rn3rk1/2p1bpp1/p3b3/1p5n/1P2P2p/P1NB1N1P/2P3P1/1RBKR3 w - - 0 12",43,c3d5,8,-135.0
"5rk1/1bpq1ppp/3b4/1r2p3/4n3/1PBN4/3P1NPP/1R1Q1RK1 w - - 0 18",-320,b3b4,8,-314.0
"2r3k1/1p3qp1/7p/1b1p4/1P1P1Pp1/r7/3QN1PP/4RRK1 w - - 0 22",-85,f4f5,8,-74.0
"4k3/2r2pQ1/1pPqp3/pB1p1p1N/P2P3p/5Pn1/6P1/6K1 w - - 5 45",202,h5f6,8,-49.0
"2r4r/pp3k1p/3ppqpB/2p1b3/2PnP1BP/3P4/PP1Q4/R3K2R w - - 0 18",-111,e1d1,8,-188.0
"r1b2rk1/1p4p1/3Rp1Bp/4qP2/5B2/8/5PPK/8 w - - 2 33",-364,f4e5,8,-913.0
