epoch,train_loss,val_loss,lr,seconds,clamped_feature_weights,clamped_output_weights
1,0.0625919326838618,0.049027647078037265,0.0009960967771506667,123.8,0,0
2,0.04127177877246209,0.04776933789253235,0.0009844486647586723,124.0,0,0
3,0.03670742882370467,0.0480437271296978,0.0009652393605146844,123.5,0,0
4,0.033188844752319736,0.04900900237262249,0.0009387718066217124,122.7,0,0
5,0.030042477170472356,0.05129866451025009,0.0009054634122155989,122.9,0,0
6,0.027247915493771233,0.05144459679722786,0.0008658394705735986,123.1,0,0
7,0.024831164944565522,0.05288001857697964,0.0008205248749256013,123.6,0,0
8,0.022865746581972126,0.054222991317510606,0.0007702342635146031,121.7,0,0
