fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,271.0,62.0,f4g5,quiet,5,0.238064,209.0,0
2kr1b1r/1bpqn1pp/pn2pp2/1p6/3P4/P1PB1NNP/1P3PP1/R1BQK2R w Q - 1 10,42.0,-28.0,d3e4,quiet,30,0.100358,70.0,0
1B4k1/6p1/7p/PN3p2/2Pp2n1/1n1P2P1/1P2r2P/5RK1 b - - 0 24,68.0,-78.0,g4e3,quiet,18,0.207032,146.0,0
2kr1b1r/pppbn3/2n5/3p1pqp/3PpN1N/1P2P1PP/P1P5/R1BQKBR1 w Q - 4 10,-30.0,-45.0,c2c3,quiet,30,0.021334,15.0,0
6k1/R7/1p1P4/6b1/1N2p2p/2r5/P1P2K2/8 w - - 0 37,94.0,62.0,a7c7,quiet,12,0.043780,32.0,0
6k1/6p1/1R1B1p1p/1p5P/8/P5P1/r1r2P2/6K1 b - - 8 40,261.0,385.0,c2f2,capture,14,0.083761,124.0,0
r1bqk2r/p3bpp1/3p2n1/2p1p1Pp/1p1NP2P/1P1PBB2/PNP2P2/R2QK2R b KQkq - 0 11,-36.0,111.0,c5d4,capture,31,0.206144,147.0,0
3q2kr/2p2p2/6p1/np1NQ2p/b2P4/2P2P1P/1P3KP1/7R w - - 1 22,-70.0,0.0,d5f6,quiet,20,0.099397,70.0,0
r3k2r/pp2b1pp/n1bp1n2/qP3p2/2P2N2/P1N1P3/3B2PP/R2QKB1R b KQkq - 0 12,37.0,-85.0,g7g5,quiet,28,0.172988,122.0,0
r7/7r/1p2Qpkp/1B4p1/PB6/2R5/6KP/3q4 b - - 4 30,-45.0,-203.0,d1d2,quiet,15,0.198484,158.0,0
r1bqk2r/pp3p2/2n5/2N1p2p/3p1P1N/BP4n1/2QP2P1/R3KB2 w Qkq - 4 16,-143.0,-253.0,h4f3,quiet,24,0.116069,110.0,0
R7/6k1/2p5/4N2p/1p3p2/1P4n1/5R1K/2r5 b - - 1 56,-125.0,-276.0,g7f6,quiet,12,0.157935,151.0,0
2kr2nr/pbpq1pbp/1pnpp3/5P2/3PP1PR/2N1BN2/PPP1Q1B1/2KR4 b - - 5 9,-222.0,-128.0,c8b8,quiet,30,0.105796,94.0,0
2r3k1/6pp/1p1Bbp2/3p4/p7/P3PPK1/1Pr3PP/1R5R b - - 5 29,95.0,97.0,c2c6,quiet,20,0.002669,2.0,0
3r4/1k1r3p/1pb1p1p1/2p1Pp1n/5P1b/1PKBBP1P/2P1N3/R4R2 b - - 6 24,132.0,27.0,d8e8,quiet,24,0.142544,105.0,0
2k5/3p1Q2/p1p5/2b3p1/8/P1P3N1/1P1q1P2/6K1 b - - 0 31,139.0,143.0,d2b2,capture,14,0.004904,4.0,0
2r4k/R5pp/1pp5/8/8/1P1B4/P1P2P1r/2KN4 b - - 0 26,13.0,-121.0,h7h5,quiet,15,0.186118,134.0,0
r4b1r/p2b2pk/n2p3p/1B1q1p2/4p3/PP2P2P/1BQ2PP1/2K3NR w - - 0 17,-325.0,-179.0,b5a6,capture,25,0.129562,146.0,0
2r1k1nr/p2q2pp/5p2/1p1B4/1b2P1b1/1P1Q4/P2P3P/R1B1K1NR w KQk - 4 13,-92.0,-84.0,a2a3,quiet,24,0.010804,8.0,0
8/8/6k1/3p2p1/p2P4/B1P5/1P3K2/3b4 b - - 5 46,173.0,117.0,d1b3,quiet,10,0.067958,56.0,0
8/3k4/6n1/6P1/8/8/3K4/8 b - - 4 62,182.0,296.0,d7e6,quiet,4,0.105717,114.0,0
3r2k1/p1q2pn1/5R2/1p4Pp/2pPB1b1/8/PP3Q2/5NK1 w - - 4 30,77.0,50.0,g5g6,quiet,19,0.037569,27.0,0
8/7b/7P/8/5k2/8/7K/8 w - - 20 68,-191.0,-321.0,h2g2,quiet,4,0.113708,130.0,0
5R2/p7/4k3/8/2pp3p/P7/1P2n2P/7K w - - 0 36,123.0,167.0,f8e8,quiet,11,0.053419,44.0,0
5k2/5P2/2n1P3/5K2/8/8/8/8 b - - 14 79,-115.0,70.0,f8e7,quiet,5,0.259105,185.0,0
8/5Q2/kp6/2q4p/7P/P3N1P1/4b2K/8 w - - 6 43,341.0,167.0,f7f2,quiet,11,0.153464,174.0,0
8/5N2/5kp1/6Np/3b2P1/2nP1K1P/5P2/8 b - - 0 42,-264.0,-155.0,d4b6,quiet,12,0.111141,109.0,0
r3kb1r/p2n1ppp/2pqp3/1p1n1b2/2PP4/5NP1/P2BPPBP/RN1Q1RK1 b kq - 0 10,-177.0,-11.0,b5c4,capture,30,0.218932,166.0,0
3r2r1/pp3nkp/8/2B5/2PN3P/1P5b/P7/1K2R3 w - - 1 28,-179.0,-316.0,e1e3,quiet,16,0.123456,137.0,0
2kr3r/1p2p3/1bn2p2/5b2/5Ppp/N1B3P1/PP4BK/R3NR2 w - - 1 24,134.0,157.0,a3c4,quiet,22,0.027906,23.0,0
3r3r/1k4bp/p7/qp2p3/1R2P3/2p2NPR/4PP2/1Q2K3 w - - 1 26,-190.0,-429.0,e1f1,quiet,19,0.172894,239.0,0
1k6/7p/8/q7/2P5/3P1Q2/2K1B3/8 w - - 3 43,371.0,495.0,f3f8,quiet,8,0.050970,124.0,0
r4rk1/pp2b1p1/4pn1p/2pp4/5B1P/P1N1P3/1PP1BPP1/R3K3 b Q - 1 14,207.0,189.0,d5d4,quiet,24,0.019025,18.0,0
r2qr3/1p2n3/pbk1PQ1p/3p1p1P/P2p4/BP1B4/2P3P1/R2K1R2 b - - 4 27,-105.0,-273.0,b6c5,quiet,24,0.181331,168.0,0
3rk2r/2p1qpp1/p6n/1p1P3p/1P2N3/P2B1P1b/2P5/1RB1Q1K1 b k - 0 18,253.0,125.0,d8d5,capture,23,0.138470,128.0,0
rnbqkb2/p1p3p1/4p2r/3p3p/7P/Pp1BP1P1/1B3P2/RN1Q1RK1 b q - 2 9,171.0,98.0,c7c5,quiet,26,0.090563,73.0,0
8/8/2p1k3/8/p1P5/3PB3/PPK5/5b2 w - - 12 42,316.0,351.0,c2c3,quiet,10,0.022483,35.0,0
3r2k1/1p4p1/2n4r/p1b4p/P1N2P2/2P3PR/1P4P1/4RK2 b - - 6 23,161.0,223.0,g8h7,quiet,19,0.066654,62.0,0
8/3b2bk/1p2p1Np/p4p1P/P2r1P2/1P3BQ1/4R2K/2q5 b - - 9 35,254.0,145.0,c1d1,quiet,19,0.114515,109.0,0
r2k1n1r/pbp3p1/1p1pB2p/5P2/3PnBPq/2P2QRN/P6P/R3K3 w Q - 5 15,204.0,-2.0,h3f2,quiet,26,0.266803,206.0,0
B7/8/1k6/5p2/8/2Kp1P2/3P4/r7 w - - 5 69,-173.0,-210.0,a8d5,quiet,8,0.039851,37.0,0
2kr1b1r/pbp1qpp1/1p2pn2/6Q1/2PPp3/1PN1P1NP/PB3P2/2KR3R w - - 5 12,-21.0,16.0,c1b1,quiet,28,0.053194,37.0,0
r2qk1nr/5p2/p2pp3/2p1n2B/4P2P/4N3/PRPP2P1/3QK2R b Kkq - 0 13,-50.0,-54.0,a6a5,quiet,23,0.005629,4.0,0
8/1r1P4/4k3/4p3/8/4K3/3R4/8 b - - 0 77,-2.0,124.0,b7d7,capture,6,0.174119,126.0,0
r1b1k2r/ppp2pbp/3p4/3P4/5p2/1PPP1q2/P2B1N2/R3K2R w KQkq - 0 18,-721.0,-962.0,h1g1,quiet,23,0.011593,241.0,0
8/1pkb1q1p/r2p1b1p/p2P1p2/PpN2Q2/3RRN2/2P3r1/2K5 b - - 1 22,475.0,632.0,g2g4,quiet,22,0.035350,157.0,0
r2b1rk1/5q2/bp1p1np1/2nPp1Bp/2P1P2P/2N2P2/1R1QB1P1/R4NK1 b - - 2 24,-144.0,-146.0,a6b7,quiet,27,0.002430,2.0,0
2kr1b1r/pbqp2pp/2n1p3/2pn2N1/1pN2P2/PP1PP3/1BP1Q2P/R3KBR1 b Q - 4 12,-31.0,27.0,b4a3,capture,30,0.083273,58.0,0
