fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
2r4k/R5pp/1pp5/8/8/1P1B4/P1P2P1r/2KN4 b - - 0 26,-728.0,-683.0,h7h5,quiet,15,0.004324,45.0,0
r4b1r/p2b2pk/n2p3p/1B1q1p2/4p3/PP2P2P/1BQ2PP1/2K3NR w - - 0 17,-1085.0,-469.0,b5a6,capture,25,0.061051,616.0,0
2r1k1nr/p2q2pp/5p2/1p1B4/1b2P1b1/1P1Q4/P2P3P/R1B1K1NR w KQk - 4 13,-380.0,-464.0,a2a3,quiet,24,0.036176,84.0,0
8/8/6k1/3p2p1/p2P4/B1P5/1P3K2/3b4 b - - 5 46,56.0,79.0,d1c2,quiet,10,0.031871,23.0,0
8/3k4/6n1/6P1/8/8/3K4/8 b - - 4 62,53.0,40.0,d7c8,quiet,4,0.018375,13.0,0
3r2k1/p1q2pn1/5R2/1p4Pp/2pPB1b1/8/PP3Q2/5NK1 w - - 4 30,-120.0,-20.0,g5g6,quiet,19,0.137389,100.0,0
8/7b/7P/8/5k2/8/7K/8 w - - 20 68,-58.0,-101.0,h2h3,quiet,4,0.058688,43.0,0
5R2/p7/4k3/8/2pp3p/P7/1P2n2P/7K w - - 0 36,102.0,391.0,f8e8,quiet,11,0.262004,289.0,0
5k2/5P2/2n1P3/5K2/8/8/8/8 b - - 14 79,-65.0,-67.0,c6d8,quiet,5,0.002777,2.0,0
8/5Q2/kp6/2q4p/7P/P3N1P1/4b2K/8 w - - 6 43,109.0,22.0,f7f2,quiet,11,0.120294,87.0,0
8/5N2/5kp1/6Np/3b2P1/2nP1K1P/5P2/8 b - - 0 42,-335.0,-14.0,c3d1,quiet,12,0.352937,321.0,0
r3kb1r/p2n1ppp/2pqp3/1p1n1b2/2PP4/5NP1/P2BPPBP/RN1Q1RK1 b kq - 0 10,-233.0,-112.0,b5c4,capture,30,0.136876,121.0,0
3r2r1/pp3nkp/8/2B5/2PN3P/1P5b/P7/1K2R3 w - - 1 28,-1179.0,-1249.0,c5a7,capture,16,0.000374,70.0,0
2kr3r/1p2p3/1bn2p2/5b2/5Ppp/N1B3P1/PP4BK/R3NR2 w - - 1 24,50.0,125.0,a3c4,quiet,22,0.101047,75.0,0
3r3r/1k4bp/p7/qp2p3/1R2P3/2p2NPR/4PP2/1Q2K3 w - - 1 26,-766.0,-993.0,e1f1,quiet,19,0.008734,227.0,0
1k6/7p/8/q7/2P5/3P1Q2/2K1B3/8 w - - 3 43,983.0,1194.0,f3f4,quiet,8,0.002441,211.0,0
r4rk1/pp2b1p1/4pn1p/2pp4/5B1P/P1N1P3/1PP1BPP1/R3K3 b Q - 1 14,618.0,532.0,a7a6,quiet,24,0.016964,86.0,0
r2qr3/1p2n3/pbk1PQ1p/3p1p1P/P2p4/BP1B4/2P3P1/R2K1R2 b - - 4 27,-768.0,-877.0,d8c7,quiet,24,0.005501,109.0,0
3rk2r/2p1qpp1/p6n/1p1P3p/1P2N3/P2B1P1b/2P5/1RB1Q1K1 b k - 0 18,375.0,439.0,d8d5,capture,23,0.029543,64.0,0
rnbqkb2/p1p3p1/4p2r/3p3p/7P/Pp1BP1P1/1B3P2/RN1Q1RK1 b q - 2 9,-19.0,106.0,c7c5,quiet,26,0.175299,125.0,0
8/8/2p1k3/8/p1P5/3PB3/PPK5/5b2 w - - 12 42,414.0,389.0,e3d4,quiet,10,0.011815,25.0,0
3r2k1/1p4p1/2n4r/p1b4p/P1N2P2/2P3PR/1P4P1/4RK2 b - - 6 23,833.0,777.0,c5a7,quiet,19,0.003085,56.0,0
8/3b2bk/1p2p1Np/p4p1P/P2r1P2/1P3BQ1/4R2K/2q5 b - - 9 35,273.0,289.0,d4d2,quiet,19,0.012724,16.0,0
r2k1n1r/pbp3p1/1p1pB2p/5P2/3PnBPq/2P2QRN/P6P/R3K3 w Q - 5 15,-6.0,-186.0,e6b3,quiet,26,0.236097,180.0,0
B7/8/1k6/5p2/8/2Kp1P2/3P4/r7 w - - 5 69,-416.0,-303.0,a8d5,quiet,8,0.065201,113.0,0
2kr1b1r/pbp1qpp1/1p2pn2/6Q1/2PPp3/1PN1P1NP/PB3P2/2KR3R w - - 5 12,-99.0,-105.0,c1b1,quiet,28,0.007931,6.0,0
r2qk1nr/5p2/p2pp3/2p1n2B/4P2P/4N3/PRPP2P1/3QK2R b Kkq - 0 13,-145.0,-76.0,g8f6,quiet,23,0.089684,69.0,0
8/1r1P4/4k3/4p3/8/4K3/3R4/8 b - - 0 77,-316.0,8.0,b7d7,capture,6,0.371962,324.0,0
r1b1k2r/ppp2pbp/3p4/3P4/5p2/1PPP1q2/P2B1N2/R3K2R w KQkq - 0 18,-2749.0,-3192.0,e1g1,quiet,23,0.000000,443.0,0
8/1pkb1q1p/r2p1b1p/p2P1p2/PpN2Q2/3RRN2/2P3r1/2K5 b - - 1 22,820.0,1992.0,g2g4,quiet,22,0.008823,1172.0,0
r2b1rk1/5q2/bp1p1np1/2nPp1Bp/2P1P2P/2N2P2/1R1QB1P1/R4NK1 b - - 2 24,-506.0,-554.0,f6d7,quiet,27,0.011947,48.0,0
2kr1b1r/pbqp2pp/2n1p3/2pn2N1/1pN2P2/PP1PP3/1BP1Q2P/R3KBR1 b Q - 4 12,-368.0,-437.0,h8g8,quiet,30,0.032550,69.0,0
7k/6pp/2nP4/2K2P2/8/8/7P/8 b - - 2 54,122.0,137.0,c6d8,quiet,8,0.018843,15.0,0
3r4/1p3p1k/7p/5Np1/pB6/P4Q1P/1bq2PP1/4R1K1 w - - 4 26,1119.0,1156.0,f5d6,quiet,18,0.000305,37.0,0
8/7R/6P1/6kP/8/3p4/6K1/3r4 w - - 7 62,418.0,2346.0,g6g7,quiet,7,0.082700,1928.0,0
8/8/1ppk1r2/p1b1p1RP/P1PpBr2/1R3P1K/8/8 w - - 1 31,-234.0,-175.0,g5g4,quiet,17,0.061133,59.0,0
4rr1k/1p4pp/5n2/pPB1q3/1p2pb2/1Q5P/P1R1BPP1/4K2R b - - 8 19,496.0,672.0,e4e3,quiet,23,0.033947,176.0,0
4R3/1k6/1p6/8/P7/8/3K4/8 b - - 0 48,-1126.0,-2176.0,b7a6,quiet,5,0.001525,1050.0,0
1k1rr1b1/1ppq3p/p4bn1/5p2/3p4/P2P1NP1/1PPBPQBP/R2K1R2 w - - 6 19,45.0,-8.0,b2b3,quiet,27,0.075911,53.0,0
Q7/2kr1p2/4p3/1B6/8/B2n3b/P7/6K1 b - - 2 30,-1177.0,-1673.0,d3e5,quiet,11,0.001075,496.0,0
8/6K1/8/8/8/2p1k3/8/2N5 w - - 0 53,-83.0,-138.0,g7h7,quiet,4,0.071549,55.0,0
2rqk1r1/p4p1p/1p1pnp1b/8/2P1P3/2NQ3P/PP3P1P/3RKB1R w K - 7 16,271.0,267.0,f1e2,quiet,25,0.003329,4.0,0
2bq2k1/p5pp/1p1b4/3p4/1P1p1P2/P4P2/1N3K1P/3Q1B1R w - - 1 18,815.0,761.0,d1d4,capture,20,0.003273,54.0,0
r1bqk2r/4ppbn/2np4/7p/2NpP1pP/p2B2N1/2PB1PP1/R2Q1RK1 w kq - 0 13,-91.0,75.0,a1a3,capture,28,0.234333,166.0,0
