epoch,train_loss,val_loss,lr,seconds,clamped_feature_weights,clamped_output_weights
1,0.038351224810688325,0.02387468870729208,0.0009960967771506667,121.5,0,0
2,0.01979872846418635,0.02251465991139412,0.0009844486647586723,122.2,0,0
3,0.017180938193338578,0.022209661826491357,0.0009652393605146844,123.3,0,0
4,0.015335363192820164,0.02229264210909605,0.0009387718066217124,124.3,0,0
5,0.013865121849875324,0.022598569840192796,0.0009054634122155989,121.8,0,0
6,0.012737022105333298,0.02294120155274868,0.0008658394705735986,121.0,0,0
7,0.011684668577976546,0.023463409021496774,0.0008205248749256013,122.1,0,0
8,0.011061122841791645,0.02404703665524721,0.0007702342635146031,119.8,0,0
9,0.010358584442268805,0.02431490421295166,0.0007157607493247108,120.9,0,0
