epoch,train_loss,val_loss,lr,seconds,clamped_feature_weights,clamped_output_weights
1,0.037113528086168746,0.023917094431817533,0.0009960967771506667,121.6,0,0
2,0.01978907239625878,0.022570978850126266,0.0009844486647586723,121.3,0,0
3,0.017208717615316015,0.022295588999986647,0.0009652393605146844,121.7,0,0
4,0.015372935825622467,0.02276804707944393,0.0009387718066217124,122.8,0,0
5,0.013932464029288516,0.022877647168934347,0.0009054634122155989,122.0,0,0
6,0.012808084996251485,0.023084884509444237,0.0008658394705735986,121.5,0,0
7,0.012000428688413691,0.023679383844137192,0.0008205248749256013,121.1,0,0
8,0.011227586161033965,0.02356790341436863,0.0007702342635146031,121.3,0,0
9,0.010397667345161628,0.023792080581188202,0.0007157607493247108,121.9,0,0
