epoch,train_loss,val_loss,lr,seconds,clamped_feature_weights,clamped_output_weights
1,0.038495193027220966,0.023867391236126422,0.0009960967771506667,121.8,0,0
2,0.01980169521358537,0.02251665387302637,0.0009844486647586723,122.3,0,0
3,0.017164119677442424,0.022160531580448152,0.0009652393605146844,122.3,0,0
4,0.015307746601675077,0.022212613932788373,0.0009387718066217124,122.8,0,0
5,0.013815110507910705,0.022527517192065714,0.0009054634122155989,123.0,0,0
6,0.012651773093072471,0.022845196723937988,0.0008658394705735986,121.3,0,0
7,0.011599381459309567,0.02320511229336262,0.0008205248749256013,121.0,0,0
8,0.010782135438394916,0.023584587685763835,0.0007702342635146031,120.1,0,0
9,0.01028150608989026,0.024704162031412125,0.0007157607493247108,121.1,0,0
