epoch,train_loss,val_loss,lr,seconds,clamped_feature_weights,clamped_output_weights
1,0.06097602661488191,0.0492448203265667,0.0009960967771506667,119.8,0,0
2,0.041210218661557635,0.048436128348112104,0.0009844486647586723,119.9,0,0
3,0.03660156628031615,0.048383384570479394,0.0009652393605146844,119.9,0,0
4,0.03306465997609167,0.04940735846757889,0.0009387718066217124,121.0,0,0
5,0.029890512377324933,0.051236914843320845,0.0009054634122155989,120.1,0,0
6,0.027199031963362045,0.051779410988092425,0.0008658394705735986,120.6,0,0
7,0.024862561623422767,0.05298624150454998,0.0008205248749256013,120.5,0,0
8,0.023003315399940605,0.05442350283265114,0.0007702342635146031,120.9,0,0
9,0.02161661831968316,0.05593993552029133,0.0007157607493247108,121.5,0,0
