epoch,train_loss,val_loss,lr,seconds,clamped_feature_weights,clamped_output_weights
1,0.028121256236880617,0.014757880102843046,0.0009960967771506667,121.5,0,0
2,0.012105501502892881,0.013348024897277355,0.0009844486647586723,121.5,0,0
3,0.010230155184744504,0.012819360010325909,0.0009652393605146844,120.8,0,0
4,0.00905588239612123,0.012605030369013549,0.0009387718066217124,119.9,0,0
5,0.00831478572704119,0.012630257941782474,0.0009054634122155989,121.4,0,0
6,0.0076152825466987255,0.012597434595227242,0.0008658394705735986,121.3,0,0
7,0.006954711305876225,0.012838080059736967,0.0008205248749256013,122.8,0,0
8,0.006491793787126954,0.012743767537176608,0.0007702342635146031,121.3,0,0
9,0.006157287190018117,0.013179446756839752,0.0007157607493247108,120.7,0,0
10,0.005808038485796263,0.012803484220057726,0.0006579634122155988,120.5,0,0
11,0.005442508837745357,0.013017592299729586,0.0005977537507199336,121.6,0,0
12,0.005134761051684015,0.013242446444928646,0.00053608130716701,123.8,0,0
