fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
3nk3/5p2/1Pq5/5Pp1/6P1/7K/1Q6/8 b - - 1 77,116.0,219.0,c6f3,quiet,10,0.118142,103.0,0
3k3r/pp4p1/4b3/3p4/7p/P1K5/P1P5/R5R1 w - - 0 33,-155.0,23.0,g1g7,capture,14,0.242406,178.0,0
8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27,53.0,34.0,c5c4,quiet,20,0.026913,19.0,0
2q2k2/pp3p2/2p2nrp/2Pr4/3PpP2/PPP2n1B/2K4P/R3B2R w - - 0 26,-586.0,-153.0,h3c8,capture,24,0.259884,433.0,0
6k1/p7/7P/P7/8/1p6/5K2/r7 b - - 0 37,636.0,1623.0,b3b2,quiet,7,0.024972,987.0,0
1k1r4/pbppn1p1/3b4/1NpP1qP1/P7/4B3/1P4Q1/K2RR3 w - - 3 26,94.0,185.0,b5d6,capture,21,0.111565,91.0,0
8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29,213.0,88.0,c2a2,capture,17,0.149138,125.0,0
5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35,-203.0,480.0,a2a1q,promotion,12,0.703534,683.0,0
2b1k2r/p3bp2/2N2n2/2P5/P3p3/4Pn2/1B3P1p/R2K1B1R w k - 0 21,91.0,-19.0,c6a7,capture,20,0.155361,110.0,0
2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27,56.0,0.0,g1f2,quiet,22,0.079900,56.0,0
8/8/3q4/8/1k6/6P1/2Qp1P2/6K1 w - - 21 57,-154.0,-164.0,c2b2,quiet,7,0.011753,10.0,0
3R4/6p1/4p2p/7P/6R1/4b3/1r2r1P1/3K2k1 b - - 1 52,809.0,751.0,e2g2,capture,12,0.003679,58.0,0
3r2k1/3P1p1p/1q4p1/8/1B6/P4Q2/1pr2PPP/3R2K1 w - - 0 35,7.0,-161.0,d1e1,quiet,17,0.226496,168.0,0
r4rk1/p1pqbppp/1p6/n7/3P4/2Q2NB1/P3PP1P/2R2KR1 b - - 4 16,58.0,85.0,f8c8,quiet,23,0.037239,27.0,0
1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,19.0,16.0,e1e5,capture,22,0.004306,3.0,0
bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,56.0,11.0,f8d6,capture,25,0.064075,45.0,0
1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,-196.0,-224.0,a1a5,capture,28,0.028535,28.0,0
rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,-347.0,-116.0,c4e3,capture,19,0.219534,231.0,0
3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,-109.0,-191.0,a6c8,quiet,10,0.098251,82.0,0
4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,-185.0,-240.0,b3b4,quiet,19,0.055605,55.0,0
r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,85.0,164.0,e2g3,quiet,25,0.099978,79.0,0
3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,207.0,94.0,f4g5,quiet,5,0.134955,113.0,0
2kr1b1r/1bpqn1pp/pn2pp2/1p6/3P4/P1PB1NNP/1P3PP1/R1BQK2R w Q - 1 10,2.0,-33.0,h3h4,quiet,30,0.050227,35.0,0
1B4k1/6p1/7p/PN3p2/2Pp2n1/1n1P2P1/1P2r2P/5RK1 b - - 0 24,33.0,-51.0,e2b2,capture,18,0.120221,84.0,0
2kr1b1r/pppbn3/2n5/3p1pqp/3PpN1N/1P2P1PP/P1P5/R1BQKBR1 w Q - 4 10,-64.0,-68.0,f1e2,quiet,30,0.005554,4.0,0
6k1/R7/1p1P4/6b1/1N2p2p/2r5/P1P2K2/8 w - - 0 37,-10.0,119.0,a7c7,quiet,12,0.179245,129.0,0
6k1/6p1/1R1B1p1p/1p5P/8/P5P1/r1r2P2/6K1 b - - 8 40,271.0,303.0,c2f2,capture,14,0.024867,32.0,0
r1bqk2r/p3bpp1/3p2n1/2p1p1Pp/1p1NP2P/1P1PBB2/PNP2P2/R2QK2R b KQkq - 0 11,61.0,55.0,e5d4,capture,31,0.008398,6.0,0
3q2kr/2p2p2/6p1/np1NQ2p/b2P4/2P2P1P/1P3KP1/7R w - - 1 22,-130.0,-11.0,d5f6,quiet,20,0.162992,119.0,0
r3k2r/pp2b1pp/n1bp1n2/qP3p2/2P2N2/P1N1P3/3B2PP/R2QKB1R b KQkq - 0 12,-21.0,-64.0,a6c5,quiet,28,0.060891,43.0,0
r7/7r/1p2Qpkp/1B4p1/PB6/2R5/6KP/3q4 b - - 4 30,64.0,-174.0,h7f7,quiet,15,0.322453,238.0,0
r1bqk2r/pp3p2/2n5/2N1p2p/3p1P1N/BP4n1/2QP2P1/R3KB2 w Qkq - 4 16,-144.0,-316.0,h4g6,quiet,24,0.164322,172.0,0
R7/6k1/2p5/4N2p/1p3p2/1P4n1/5R1K/2r5 b - - 1 56,-138.0,-305.0,c1c5,quiet,12,0.163899,167.0,0
2kr2nr/pbpq1pbp/1pnpp3/5P2/3PP1PR/2N1BN2/PPP1Q1B1/2KR4 b - - 5 9,-221.0,-180.0,c8b8,quiet,30,0.043006,41.0,0
2r3k1/6pp/1p1Bbp2/3p4/p7/P3PPK1/1Pr3PP/1R5R b - - 5 29,68.0,112.0,c8c6,quiet,20,0.059191,44.0,0
3r4/1k1r3p/1pb1p1p1/2p1Pp1n/5P1b/1PKBBP1P/2P1N3/R4R2 b - - 6 24,-96.0,-15.0,h4e7,quiet,24,0.113170,81.0,0
2k5/3p1Q2/p1p5/2b3p1/8/P1P3N1/1P1q1P2/6K1 b - - 0 31,65.0,123.0,d2b2,capture,14,0.077503,58.0,0
2r4k/R5pp/1pp5/8/8/1P1B4/P1P2P1r/2KN4 b - - 0 26,-17.0,-135.0,h2h1,quiet,15,0.160614,118.0,0
r4b1r/p2b2pk/n2p3p/1B1q1p2/4p3/PP2P2P/1BQ2PP1/2K3NR w - - 0 17,-132.0,-101.0,b5a6,capture,25,0.039932,31.0,0
2r1k1nr/p2q2pp/5p2/1p1B4/1b2P1b1/1P1Q4/P2P3P/R1B1K1NR w KQk - 4 13,-1.0,-53.0,a2a3,quiet,24,0.074248,52.0,0
8/8/6k1/3p2p1/p2P4/B1P5/1P3K2/3b4 b - - 5 46,145.0,125.0,g6f5,quiet,10,0.024835,20.0,0
8/3k4/6n1/6P1/8/8/3K4/8 b - - 4 62,185.0,320.0,d7e6,quiet,4,0.119559,135.0,0
3r2k1/p1q2pn1/5R2/1p4Pp/2pPB1b1/8/PP3Q2/5NK1 w - - 4 30,16.0,-66.0,f6c6,quiet,19,0.116865,82.0,0
8/7b/7P/8/5k2/8/7K/8 w - - 20 68,-261.0,-354.0,h2g1,quiet,4,0.066770,93.0,0
5R2/p7/4k3/8/2pp3p/P7/1P2n2P/7K w - - 0 36,84.0,170.0,f8e8,quiet,11,0.108246,86.0,0
5k2/5P2/2n1P3/5K2/8/8/8/8 b - - 14 79,-194.0,76.0,f8e7,quiet,5,0.361047,270.0,0
8/5Q2/kp6/2q4p/7P/P3N1P1/4b2K/8 w - - 6 43,128.0,126.0,f7e8,quiet,11,0.002525,2.0,0
8/5N2/5kp1/6Np/3b2P1/2nP1K1P/5P2/8 b - - 0 42,-212.0,-120.0,c3d1,quiet,12,0.105989,92.0,0
r3kb1r/p2n1ppp/2pqp3/1p1n1b2/2PP4/5NP1/P2BPPBP/RN1Q1RK1 b kq - 0 10,-21.0,11.0,b5c4,capture,30,0.046010,32.0,0
3r2r1/pp3nkp/8/2B5/2PN3P/1P5b/P7/1K2R3 w - - 1 28,-132.0,-286.0,c5a7,capture,16,0.157075,154.0,0
2kr3r/1p2p3/1bn2p2/5b2/5Ppp/N1B3P1/PP4BK/R3NR2 w - - 1 24,57.0,115.0,g3h4,capture,22,0.078407,58.0,0
3r3r/1k4bp/p7/qp2p3/1R2P3/2p2NPR/4PP2/1Q2K3 w - - 1 26,-47.0,-366.0,g3g4,quiet,19,0.324340,319.0,0
1k6/7p/8/q7/2P5/3P1Q2/2K1B3/8 w - - 3 43,364.0,557.0,f3f8,quiet,8,0.070622,193.0,0
r4rk1/pp2b1p1/4pn1p/2pp4/5B1P/P1N1P3/1PP1BPP1/R3K3 b Q - 1 14,150.0,109.0,c5c4,quiet,24,0.051473,41.0,0
r2qr3/1p2n3/pbk1PQ1p/3p1p1P/P2p4/BP1B4/2P3P1/R2K1R2 b - - 4 27,-203.0,-332.0,d8c7,quiet,24,0.108263,129.0,0
3rk2r/2p1qpp1/p6n/1p1P3p/1P2N3/P2B1P1b/2P5/1RB1Q1K1 b k - 0 18,144.0,137.0,h6f5,quiet,23,0.008591,7.0,0
rnbqkb2/p1p3p1/4p2r/3p3p/7P/Pp1BP1P1/1B3P2/RN1Q1RK1 b q - 2 9,96.0,21.0,e6e5,quiet,26,0.104559,75.0,0
8/8/2p1k3/8/p1P5/3PB3/PPK5/5b2 w - - 12 42,256.0,368.0,c2c3,quiet,10,0.079064,112.0,0
3r2k1/1p4p1/2n4r/p1b4p/P1N2P2/2P3PR/1P4P1/4RK2 b - - 6 23,249.0,155.0,d8d3,quiet,19,0.098070,94.0,0
8/3b2bk/1p2p1Np/p4p1P/P2r1P2/1P3BQ1/4R2K/2q5 b - - 9 35,216.0,76.0,c1c7,quiet,19,0.168494,140.0,0
r2k1n1r/pbp3p1/1p1pB2p/5P2/3PnBPq/2P2QRN/P6P/R3K3 w Q - 5 15,227.0,-56.0,h3f2,quiet,26,0.366863,283.0,0
B7/8/1k6/5p2/8/2Kp1P2/3P4/r7 w - - 5 69,-97.0,-211.0,a8d5,quiet,8,0.135037,114.0,0
2kr1b1r/pbp1qpp1/1p2pn2/6Q1/2PPp3/1PN1P1NP/PB3P2/2KR3R w - - 5 12,-67.0,-60.0,d4d5,quiet,28,0.009744,7.0,0
r2qk1nr/5p2/p2pp3/2p1n2B/4P2P/4N3/PRPP2P1/3QK2R b Kkq - 0 13,-42.0,-77.0,g8f6,quiet,23,0.048882,35.0,0
8/1r1P4/4k3/4p3/8/4K3/3R4/8 b - - 0 77,-20.0,149.0,b7d7,capture,6,0.230933,169.0,0
r1b1k2r/ppp2pbp/3p4/3P4/5p2/1PPP1q2/P2B1N2/R3K2R w KQkq - 0 18,-437.0,-822.0,h1g1,quiet,23,0.066040,385.0,0
8/1pkb1q1p/r2p1b1p/p2P1p2/PpN2Q2/3RRN2/2P3r1/2K5 b - - 1 22,504.0,617.0,g2g4,quiet,22,0.024216,113.0,0
r2b1rk1/5q2/bp1p1np1/2nPp1Bp/2P1P2P/2N2P2/1R1QB1P1/R4NK1 b - - 2 24,-293.0,-265.0,f6h7,quiet,27,0.022441,28.0,0
2kr1b1r/pbqp2pp/2n1p3/2pn2N1/1pN2P2/PP1PP3/1BP1Q2P/R3KBR1 b Q - 4 12,54.0,-37.0,b4a3,capture,30,0.130139,91.0,0
7k/6pp/2nP4/2K2P2/8/8/7P/8 b - - 2 54,1.0,-104.0,c6e5,quiet,8,0.146792,105.0,0
3r4/1p3p1k/7p/5Np1/pB6/P4Q1P/1bq2PP1/4R1K1 w - - 4 26,411.0,398.0,f5d6,quiet,18,0.006055,13.0,0
8/7R/6P1/6kP/8/3p4/6K1/3r4 w - - 7 62,88.0,1081.0,g6g7,quiet,7,0.374018,993.0,0
8/8/1ppk1r2/p1b1p1RP/P1PpBr2/1R3P1K/8/8 w - - 1 31,-246.0,-119.0,b3b1,quiet,17,0.139867,127.0,0
4rr1k/1p4pp/5n2/pPB1q3/1p2pb2/1Q5P/P1R1BPP1/4K2R b - - 8 19,284.0,283.0,f8g8,quiet,23,0.000788,1.0,0
4R3/1k6/1p6/8/P7/8/3K4/8 b - - 0 48,-466.0,-618.0,b7a6,quiet,5,0.036293,152.0,0
1k1rr1b1/1ppq3p/p4bn1/5p2/3p4/P2P1NP1/1PPBPQBP/R2K1R2 w - - 6 19,-26.0,-52.0,a3a4,quiet,27,0.036933,26.0,0
Q7/2kr1p2/4p3/1B6/8/B2n3b/P7/6K1 b - - 2 30,-172.0,-743.0,d3c5,quiet,11,0.257197,571.0,0
8/6K1/8/8/8/2p1k3/8/2N5 w - - 0 53,15.0,-92.0,c1b3,quiet,4,0.150962,107.0,0
2rqk1r1/p4p1p/1p1pnp1b/8/2P1P3/2NQ3P/PP3P1P/3RKB1R w K - 7 16,193.0,175.0,c3d5,quiet,25,0.019808,18.0,0
